K,Error
0,0.7680452005892684
1,0.741883474394343
2,0.7222570200150777
3,0.6965997259657425
4,0.6737759691142473
5,0.6482745693702123
6,0.6288848590973163
7,0.6115695248107702
8,0.5867984118819367
9,0.5652176884338962
10,0.5469178513696764
11,0.5274024013646612
12,0.5051522761707802
13,0.48380724249510326
14,0.4622523032696693
15,0.44261864515646304
16,0.4231687811993103
17,0.40190997857017186
18,0.38969394775134847
19,0.37744208073976404
20,0.3641432444151205
21,0.35165804910361087
22,0.3385418570865739
23,0.3262579689963904
24,0.31249016954300224
25,0.300524810416886
26,0.29119672505599836
27,0.2793247332098343
28,0.2668583972336837
29,0.25361336568888676
30,0.24060297467716277
31,0.22972891248950936
32,0.21927515138381165
33,0.2083377721199267
34,0.19949765715556442
35,0.19214711946455276
36,0.1859158523644936
37,0.1810172015858256
38,0.17585003255526174
39,0.17071708958204415
40,0.16569081058567547
41,0.16097536592685835
42,0.1562795299240131
43,0.15127687355690664
44,0.14849100515066266
45,0.14465523316817344
46,0.14040768780541482
47,0.13615204427344096
48,0.1324128078965428
49,0.1292705086710928
50,0.12574143145994962
51,0.12226147833663237
52,0.11852703095171022
53,0.11538770320872688
54,0.11318771214374038
55,0.11138293584631014
56,0.10972688422091662
57,0.10826039531691863
58,0.10693104279189049
59,0.10505369950415716
60,0.10373747680800306
61,0.10154804362928695
62,0.09993582686090369
63,0.09874919524003066
64,0.09726050741216431
65,0.09479630988052615
66,0.0933400830121388
67,0.0919487002934852
68,0.08967740277772795
69,0.08789412351824936
70,0.08585078024911048
71,0.0836041797812879
72,0.08248519745823417
73,0.08117627960991548
74,0.08031592235634945
75,0.07946535991394674
76,0.07864649814329978
77,0.07796652998874215
78,0.07747981700235622
79,0.07699975511528012
80,0.07546762392772356
81,0.074252606923127
82,0.0734232735369493
83,0.0722487827069025
84,0.07155282779054485
85,0.07048295498934275
86,0.06970760644473828
87,0.06834083746478066
88,0.06759988142091485
89,0.06656506395364478
