K,Error
0,70976880.71597812
1,61374556.832944565
2,55715957.138558954
3,50292708.08453095
4,42557575.734216
5,36446128.21067202
6,29680362.483878307
7,25599105.5454408
8,23691171.944156628
9,22590773.57393562
10,20421240.53292185
11,17686560.366339933
12,16115912.38334615
13,14759523.211445246
14,14558554.674875364
15,13723517.152283402
16,12641198.173881885
17,11874558.159196308
18,12159080.081609035
19,11432313.455604661
20,9109328.155437082
21,8232318.258482201
22,7319224.539685719
23,7217619.294806431
24,7704837.13275866
25,6691439.269293649
26,6289656.18922966
27,5575760.769035569
28,5345681.333070534
29,5209293.051885149
30,4883921.894783913
31,4599884.2363846265
32,4458062.473065026
33,4518208.991381885
34,4288030.622051009
35,4271329.216164055
36,3893827.4568880796
37,3745730.2362244655
38,3610827.520178564
39,3563147.0536789107
40,3569293.415773499
41,3528903.4438444884
42,3493321.8534829905
43,3431887.8410609015
44,3232537.1704495237
45,3107369.379486113
46,3044761.4677184382
47,3018030.0646069245
48,2952351.281848789
49,2878867.069542124
50,2825758.70427212
51,2772319.945822431
52,2698184.3062349474
53,2687791.6788365263
54,2626405.608089743
55,2565970.3737044246
56,2533328.6781962593
57,2477421.1664609197
58,2797527.5286520184
59,2950630.1956473948
60,2554694.452767818
61,2405258.0409529647
62,2383971.2908723652
63,2259014.2245969633
64,2252924.4486343763
65,2140204.9087258046
66,2423051.8002487086
67,2237578.637070858
68,2050110.718044294
69,2576321.4145583096
70,2599143.9767678897
71,1899966.634076121
72,1952539.3233247986
73,1933782.8223059415
74,1825753.682694194
75,1795493.9793701114
76,1781236.3205819216
77,1743911.84058102
78,1702779.9905320322
79,1650878.0001630213
80,1598195.449767292
81,1572666.3018138635
82,1542661.629504963
83,1528267.2219432339
84,1522412.1748525759
85,1506120.9752767852
86,1509569.0749255607
87,1509724.775928051
88,1506337.9230526278
89,1512198.5812543754
90,1525233.5371313002
91,1452842.8414549478
92,1394615.2492249003
93,1381788.8471547554
94,1350837.0747852847
95,1299913.4881385248
96,1298754.1826421258
97,1341392.8929177714
98,1352585.958968477
99,1265698.3232803743
100,1271868.3333800214
101,1267420.12311725
102,1376345.929497379
103,1369412.0724713863
104,1318326.6851398677
105,1290989.5391758191
106,1276317.052120314
107,1260314.03046626
108,1241986.1414700493
109,1199006.6418187313
110,1180708.0091596092
111,1156586.5946920149
112,1138335.3324386992
113,1124132.347378479
114,1120766.6186425658
115,1124713.1273961305
116,1131307.4438821909
117,1155406.511173817
118,1161982.3850732998
119,1161302.6525333202
120,1127337.6162462032
121,1135884.195152196
122,1130952.36459774
123,1116612.1630970205
124,1084603.1488263651
125,1079075.7452133056
126,1066081.9019531258
127,1064310.8253054598
128,1083945.7871033615
129,1154230.6282113204
130,1313817.2887468003
131,1069144.0945070563
132,997947.2330450547
133,1109039.6331140841
134,1029837.8295525995
135,990676.1539399879
136,966135.4309085406
137,952208.126905477
138,947125.5833696473
139,939449.4838443972
140,918193.3955413564
141,917760.355171158
142,918888.1539594865
143,919287.8220828054
144,918173.293692025
145,916563.8896835893
146,915091.9847434773
147,912416.8891942918
148,909947.6160017129
149,899751.2066753265
150,894647.9006523679
151,892716.8824110202
152,892596.4835999928
153,922021.4010474065
154,929873.0814628416
155,915966.2771300501
156,889065.6505206865
157,870983.8386392304
158,864787.4112940206
159,860701.6617891511
160,870744.2726287085
161,868482.6817659299
162,888161.5512260371
163,902126.2539129971
164,850915.675450842
165,826431.2221626572
166,810856.385340196
167,791696.5229406358
