Classified,Real
7029.455515464146,7609.0
9846.87415945755,9895.0
6652.088607680873,8013.0
8862.35227047289,10795.0
7925.320232530367,9258.0
19574.25836778493,22625.0
7070.475158546597,7499.0
7344.561812954426,8499.0
9051.80853754344,9980.0
37834.89219526576,37028.0
16678.162607072885,19699.0
12589.681927789525,12945.0
6506.431237003221,7738.0
7713.879379158344,8558.0
10421.233125713847,9279.0
8746.308408850815,7775.0
17388.539804332653,15998.0
20034.601559361985,19045.0
10215.607446562954,11248.0
17152.377868637635,18920.0
11291.693871299813,13845.0
11268.593334272267,12440.0
16379.626738601506,18150.0
16526.066840706353,12940.0
18560.349758729117,17710.0
14028.714823874288,17859.167
11769.616327879874,11048.0
11235.237823728763,12290.0
18843.25680384268,21485.0
6521.201337682279,6189.0
