Classified,Real
15416.747788400384,13495.0
15416.747788400384,16500.0
16367.408036908815,16500.0
13572.335085860344,13950.0
17624.18859813686,17450.0
15157.910126036997,15250.0
23818.625212163883,23875.0
16665.675609841477,16430.0
17102.495333770086,16925.0
21095.75513818416,21105.0
24488.83846561707,24565.0
30823.62766711983,30760.0
41173.67038312505,41315.0
5861.352535190841,5151.0
5893.682455178493,6295.0
7698.749925614497,6575.0
5767.89413404044,5572.0
6083.416568634114,6377.0
7855.783854512996,7957.0
6145.200703821858,6229.0
7029.455515464146,6692.0
8955.976497441241,8921.0
12713.942732031393,12964.0
6355.284190003812,6479.0
6819.148601722141,6855.0
5310.624572385719,5399.0
6673.535356561079,6529.0
6685.415710062527,7129.0
7256.522290763449,7295.0
7264.5172281119085,7295.0
7788.0633269156715,7895.0
8846.862564358778,8845.0
10196.44072534713,10345.0
6968.276700864587,6785.0
8612.020172945227,8916.5
7903.684712779722,8916.5
32415.61298470277,32250.0
35666.649167592215,36000.0
6727.181931553429,6795.0
7122.015081332437,6695.0
6994.363832181995,7395.0
11532.366707759618,10945.0
11532.366707759618,11845.0
11530.773124345802,13645.0
15561.78453573572,15645.0
9704.995265891092,8845.0
9550.57714098575,8495.0
9704.995265891092,10595.0
9550.57714098575,10245.0
10983.7955274425,11245.0
18479.492421547453,18280.0
28445.112317945546,28248.0
28331.000315015513,28176.0
31731.500655264885,31600.0
34212.52069158744,34184.0
34628.67907525787,35056.0
40795.75839537734,40960.0
45487.33807115707,45400.0
16381.052566979874,16503.0
6695.352363628954,6669.0
7668.777909924184,7689.0
9718.95048303005,9959.0
13226.731238884744,12629.0
13797.51468733066,14869.0
13827.146734254366,14489.0
7745.875128292145,6989.0
7872.835194146313,8189.0
9206.304155234222,9279.0
6173.932746786358,5499.0
7162.128160347668,7099.0
6273.44176811025,6649.0
6985.606636666813,6849.0
7659.427696163177,7349.0
6386.676171685713,7299.0
7378.215909838183,7799.0
7719.363706762428,7999.0
8125.405932612831,8249.0
9226.527199574626,8949.0
9279.201145200313,9549.0
13525.416552209888,13499.0
14453.75802524042,14399.0
13243.773379718337,13499.0
16809.053548250216,17199.0
14333.50113853714,11900.0
15809.370211556048,13200.0
14998.051326344543,13860.0
15961.612720900457,15580.0
15184.188311695141,17075.0
14527.922105807433,16630.0
16058.134048701617,17950.0
5878.505199564308,5572.0
7705.471788035328,7957.0
6145.200703821858,6229.0
6921.977226748409,6692.0
7442.513281967882,7609.0
8929.152433615509,8921.0
21954.49403619115,22018.0
33604.93845304584,32528.0
33604.93845304584,34028.0
9308.153914606648,9295.0
11946.730169216635,11850.0
15112.99851518512,15040.0
15694.788055240158,15510.0
18017.261223189973,18150.0
18594.069908290825,18620.0
5246.558001864438,5118.0
7080.371529328106,7053.0
7731.617829678601,7603.0
7313.972899578879,7126.0
7864.666664055293,7775.0
7590.130138005186,7463.0
10338.451216035515,10198.0
11966.787847928423,11694.0
6391.413157197032,6338.0
6478.319301706691,6488.0
6941.1211496948445,6918.0
8004.158219774158,7898.0
7577.192256728433,7198.0
7915.1602674268015,7898.0
7746.4725526562115,7788.0
8006.369829277509,8358.0
8037.459595236156,8058.0
9241.020962357092,9298.0
9995.962250693743,9639.0
10299.070640524955,11199.0
11441.36244168844,11549.0
17536.553755103465,17669.0
9623.139094614728,8948.0
10672.015096731462,10698.0
10376.825391299157,10898.0
15973.462581559457,15690.0
15941.810737255571,15750.0
7998.688271196579,7975.0
8121.5732958496,7995.0
8267.329661541433,8195.0
9573.294589601837,9495.0
10233.580346296683,9995.0
11466.357138352936,11595.0
15530.844470836177,13415.0
16263.71924328612,15985.0
15362.692782264072,16515.0
18402.181739476655,18420.0
19082.48770019737,18950.0
17069.848860270493,16845.0
22225.99382452281,22470.0
