K,Norm
0,390.102087328107
1,411.14899365713603
2,428.4707202729942
3,376.4719765678561
4,404.3755531385107
5,288.04089354328676
6,319.3317087140938
7,450.2968524156842
8,425.30788312272927
9,258.99964214042706
10,344.9701197700592
11,332.35830341778876
12,284.0953804616151
13,278.0121564643004
14,345.79510231228375
15,289.65292663441755
16,278.6526143781463
17,314.36969191969746
18,350.0352969411729
19,330.38048677009766
20,344.00866000652593
21,441.72287426178696
22,478.89252273094377
23,406.9208236659977
24,527.1239035176201
25,435.1682077015305
26,457.74707473822826
27,475.3507015305066
28,465.93289812125107
29,361.0859529018904
30,201.1015234850052
31,294.5182178302207
32,229.15500385275053
33,258.2867848903375
34,307.51458759249977
35,269.87202171512155
36,314.23481546835353
37,288.5591666414145
38,339.65432719739607
39,345.2960035357088
40,319.5385765057762
41,436.7347059987574
42,356.17401660217166
43,312.83699821583133
44,547.1155535394321
45,326.2152025790457
46,352.2217678698085
47,396.5757010599576
48,366.5259483177819
49,287.20453648693507
50,362.1337286910974
51,448.24136730381423
52,302.6054093195302
53,461.84965539010375
54,459.0362657375339
55,304.4951377088814
56,390.0328706115519
57,420.3494536010042
58,363.51438296317855
59,344.9331498637622
60,371.97576320995245
61,163.8304660188534
62,325.01980658215444
63,314.70728309434605
64,245.19394218014043
65,390.9631579349502
66,284.4308523906424
67,415.2465254768698
68,313.93937581732973
69,384.05530099349045
70,468.2284926455788
71,403.8868802129938
72,333.36133387091076
73,583.6487269306302
74,464.2869868223852
75,406.4808912616394
76,475.9127785532877
77,421.5587742698826
78,371.7550745848446
79,552.4760313650584
80,408.3317962208303
81,585.7182022311151
82,564.8692180087935
83,354.41703128943703
84,529.8015068250255
85,566.8844842304858
86,365.6872858921127
87,477.55798308824285
88,400.36923214156076
89,462.3821176487412
90,403.15053713060206
91,400.35759052992313
92,178.23812863407693
93,435.05636546589847
94,302.763921662134
95,291.39027125093037
96,304.67322355615045
97,452.4363918060885
98,251.50643648933695
99,394.5247455276021
100,396.2628394887713
101,309.07594705114366
102,469.5436823478253
103,453.2538635313217
104,393.911972299769
105,443.3560387737166
106,453.8918182839805
107,358.05552585484054
108,450.6890282622168
109,402.2306459155867
110,581.4157844604316
111,594.4363970069412
112,594.8868823713905
113,485.7174679641983
114,688.1475380435246
115,612.9532477527324
116,501.3915030812256
117,546.007195091243
118,589.5493968375406
119,429.9495006105145
120,484.36499110655996
121,450.1337841985056
122,404.0751373959633
123,196.02636424869385
124,373.00975479024555
125,287.21590721674676
126,246.54344985917024
127,355.23808396424613
128,310.57175136816
129,326.9538800091713
130,355.0464954771952
131,369.55356772656785
132,370.1909188288804
133,411.4279635327634
134,478.19488705056716
135,580.8519987379851
136,465.3506091928091
137,456.1815537250345
138,531.0315855827376
139,487.0781882030911
140,371.4210307907702
141,493.7311550662199
142,427.4087130393292
143,340.6094461509763
144,594.1668225870832
145,398.5177396713349
146,355.2076650434456
147,504.7028749507629
148,468.7720816840947
149,448.59863190816765
150,462.8781962157318
151,519.3484318216543
152,419.0972392498365
153,740.9931145053255
154,205.61397067310307
155,341.499855644897
156,537.4059912401962
157,362.391379402174
158,327.6429187028852
159,490.5949289092954
160,344.9145834943553
161,341.57367451695916
162,472.5602328289055
163,400.9473051175015
164,437.2447509337646
165,476.722779486186
166,319.6293160326623
167,390.6428672452114
168,475.81190098865375
169,387.59837630710814
170,436.10367462757927
