K,Error
0,288.6215750118194
1,276.9960380524971
2,269.8070605432542
3,266.7403019841758
4,265.2902123175152
5,264.05717695003796
6,263.09591466135123
7,262.5400747735153
8,262.50840091316184
9,262.05994631736615
10,261.9080994124957
11,261.30212153613604
12,261.3002761692872
13,261.40096253562194
14,261.0096335628583
15,261.00948242691265
16,260.88023381583014
17,260.8779276611426
18,260.8355000951306
19,260.94026046118927
20,260.8881742568698
21,261.0660271298511
22,261.1699986930895
23,261.21765794343776
24,261.1943998304858
25,261.1072756928026
26,261.05359157008456
27,261.0487941026092
28,260.5751322441735
29,260.2509756927358
30,260.24689672640517
31,260.2569832244079
32,260.2604405085725
33,260.19966022859785
34,260.1468077623056
35,260.13362794014307
36,260.20475096992186
37,260.25693587196855
38,260.1487325011411
39,260.31268055139856
40,260.2945355525797
41,260.2714891830733
42,260.1366914143089
43,260.363408279112
44,260.3109882993436
45,260.2904598933115
46,260.30171880002376
47,260.34183015298527
48,260.34373901576953
49,260.25392453621646
50,260.3065265636045
51,260.2728772677433
52,260.27581090755143
53,259.9759438824515
54,260.0026231897842
55,259.9886022033391
56,259.9932010609139
57,259.8806619135178
58,260.19711035644275
59,260.04931494296636
60,260.09251586987824
61,259.93336619437633
62,260.0153104500115
63,259.8291775259495
64,259.88189539473046
65,259.989463290535
66,260.4002139691576
67,260.581678271436
68,260.4826268117208
69,260.3491396407844
70,260.4737398522646
71,260.5203474693322
72,260.25496336847647
73,260.3836653113433
74,260.37968544277965
75,260.3880599081851
76,260.3456915713353
77,260.34938488963996
78,260.4923130347972
79,260.5499512087514
80,260.57065906064554
81,260.58883939055914
82,260.5204747849094
83,260.5641314747884
84,260.13043178871186
85,260.269207326943
86,260.314468606005
87,260.53554832378103
88,260.5701913149892
89,260.6130093958934
90,260.801395479805
91,260.66982213670445
92,260.4780867771071
93,260.48280734669333
94,260.41728087204876
95,260.7683389664811
96,260.7650782064331
97,260.74926436366695
98,260.66802315526013
99,260.8474212206299
100,260.5529513787665
101,260.5467540571256
102,260.8217681093444
103,260.7323189279313
104,260.75044636733446
105,260.74649604446705
106,260.5951198535047
107,260.39215806115186
108,260.2863137007001
109,260.268479772406
110,260.2226190752829
111,260.3255596217712
112,260.2386459876481
113,260.4209197327051
114,260.434352584735
115,260.53476805461634
116,260.4007365254045
117,260.4179936299276
118,260.4153080646588
119,260.46937186777205
120,260.31617730085225
121,260.1492772376545
122,259.9909108153314
123,259.8513286552423
124,259.8147542817914
125,259.3408814770419
126,259.37641001781554
127,259.41941897709205
128,259.6099121741638
129,259.62107638842144
130,259.4863916911078
131,259.45039206913424
132,259.3159695530827
133,259.5920362908847
134,259.40405722628384
135,259.4263902845491
136,259.33865970729767
137,259.47923805410954
138,259.4396785632396
139,259.3485977184615
140,259.5366316025104
141,259.64663887112783
142,259.63862392767015
143,259.87820003001576
144,259.7698427561183
145,259.6327028559611
146,259.65244094724227
147,259.4362626696505
148,259.4713589755643
149,259.5376967718062
150,259.2014322476975
151,259.3315346351784
152,259.253573685952
153,259.14561477914185
154,259.09642132207523
155,259.069838313209
156,259.0650467433856
157,258.8578377345763
158,258.90110741371905
159,259.093130766095
160,259.10444648768845
161,259.16385068791163
162,259.309361198275
163,258.88011459456766
164,258.95326362140526
165,258.85497046827226
166,258.90078581084384
167,258.91651310321555
168,258.88421234036025
169,259.0119218099037
170,258.9659712834572
171,258.9374977006293
172,259.0005156373983
173,258.6887927705433
174,258.8414250576251
175,258.7666813389278
176,258.9374703123993
177,258.5555065908494
