Accuracy,EpochsNum,SAGA,Replacement,Method,ExecutionTime,NetworkConfig,LambdaL1,LambdaL2

108.59698446973968,1000,True,False,NADAM,0:00:12.801746,"[6, 6]",0.0,0.0
165.66550129611957,1000,True,False,ADAM,0:00:12.100651,"[6, 6]",0.0,0.0
102.30180481710168,1000,True,False,ADADELTA,0:00:45.792776,"[6, 6]",0.0,0.0
302.79891130769926,1000,True,False,ADAGRAD,0:00:11.444414,"[6, 6]",0.0,0.0
135.83836961664701,1000,True,False,RMSPROP,0:00:11.714752,"[6, 6]",0.0,0.0
306.34790531826695,1000,True,False,DIMINISHING,0:00:11.359637,"[6, 6]",0.0,0.0
185.74808516669898,5,False,False,NADAM,0:00:00.143555,"[6, 6]",0.0,0.001
49.93275621256277,50,False,False,NADAM,0:00:01.012866,"[6, 6]",0.0,0.001
72.31727277771576,3000,True,False,NADAM,0:01:07.449452,"[6, 6]",0.0,0.001
91.12654257556977,3000,True,False,ADAM,0:00:52.897497,"[6, 6]",0.0,0.001
306.34790531826695,3000,True,False,ADADELTA,0:03:46.448951,"[6, 6]",0.0,0.001
306.34790531826695,3000,True,False,ADAGRAD,0:00:51.951694,"[6, 6]",0.0,0.001
74.28542783824628,3000,True,False,RMSPROP,0:01:07.788198,"[6, 6]",0.0,0.001
