Classified,Real
34.60016923364918,37.91
35.47908557784462,15.869999999999997
30.660844951300195,6.280000000000001
32.12117895436315,13.329999999999998
33.06199537176009,39.44
32.643676526603095,10.759999999999994
35.9982024947065,22.49
33.41336016651331,25.75
37.2859661090979,39.58
35.743876914615875,38.02
31.68799784793057,11.170000000000002
33.0400279491568,50.7
32.54216242946143,74.36
35.206730757356304,77.3
31.917668832841457,21.07
32.649996617754645,14.64
34.364651217928504,17.24
33.030150593132774,55.51
33.366386586720466,51.06
30.198706142671536,17.82
30.5071567096549,28.24
34.249262440031636,22.44
32.05978235561318,43.39
33.899179906621015,12.469999999999999
33.29034117485735,37.36
37.611090785747585,38.6
32.8358165372701,39.46
37.39697208339671,36.8
34.55193179720259,47.71
32.98302173108303,29.89
32.95414630703409,12.550000000000004
31.29910285086953,33.54
34.69936577352649,32.88
31.989899071053863,24.29
32.05216578120939,37.27
30.32833490207381,38.41
30.962267344920107,42.92
34.8461037048045,64.9
33.74711869768249,18.28
37.38414112193656,23.85
31.863918269897617,10.350000000000001
35.0374782526039,46.23
34.00746779313064,53.72
36.48570506600201,27.53
35.050345771585256,27.22
33.99923104249066,79.3
34.434867394835,55.65
33.96991204201001,50.24
34.292496995669694,46.39
35.206730757356304,77.3
27.856884317923573,41.05
33.1184933888411,61.92
34.88603527275436,39.64
35.83055325049012,18.13
33.57252519687563,29.45
34.719863588669114,27.68
34.47744134514431,15.030000000000001
34.51432088939538,41.54
30.93653717992333,18.2
32.658139735415155,12.369999999999997
32.54253473478588,48.67
33.385305445587804,68.75
37.5498422807706,27.74
37.665977606503155,24.4
32.59395767090764,44.4
36.84030539410315,39.05
36.255220157307775,47.22
33.923473125337495,50.77
32.44533874031565,32.53
35.17392507118953,71.3
33.43926753122776,51.04
33.82568369157564,38.61
37.223910206413336,37.42
34.69511533136049,10.380000000000003
34.79734446931976,66.7
34.49931736809306,19.99
32.76190722684373,28.1
35.76073515340714,35.36
33.53689166566725,55.55
36.19454602470998,41.05
33.988646410760815,38.22
34.62636750145241,50.51
35.57238255544583,43.8
34.966223814036816,25.69
35.438062845178486,31.87
35.039104081424675,42.64
34.82001091898054,22.14
35.923409217783494,16.5
35.537040880999754,64.9
37.22917511620692,44.13
36.86002801282808,31.97
35.02445749538024,39.84
32.90837225433072,64.3
33.20443999210721,26.23
33.88743239379507,59.49
36.35916202221403,19.35
36.94286587041956,25.62
34.06616154255189,20.92
33.05119084244349,32.72
33.165320306626086,17.54
34.83285950928709,19.93
34.43306989009159,44.64
37.38435432638563,39.6
34.92969537568462,31.42
32.396793869796824,49.2
35.15687694778954,61.09
33.47930035798802,17.84
33.97023274218682,23.52
34.1216513543974,53.96
34.186612650488925,15.439999999999998
34.16346843516657,31.18
33.05566442557902,39.15
32.8360460732461,71.62
33.71579441012022,15.09
34.944895862973425,22.84
34.259899183088336,24.13
33.15201513225383,39.78
34.21006730124094,45.94
34.093854704306466,56.34
32.147241062049424,65.2
36.09747590580995,11.469999999999999
34.49063721231812,48.28
34.069259185259334,41.37
34.99676331269913,54.6
33.497439771325055,52.96
35.47260836219968,52.44
36.899136957860954,45.85
35.11060558805152,25.57
35.417442468123376,37.23
35.51992726300107,29.41
35.206730757356304,77.3
36.387667100109915,43.58
37.091503693676934,52.3
35.47393016375402,11.98
33.321655176659036,38.56
33.29082054208015,15.36
33.216620580885774,13.619999999999997
36.59201782166655,44.87
36.15247163485358,25.1
34.86626922788537,51.04
36.40597439441626,42.23
37.16133465669116,38.21
33.62437733667422,55.83
32.72181534871543,67.87
34.1710289164332,46.8
32.21809152295253,15.04
37.48577782421029,36.94
35.70547182031647,30.57
32.74951651444596,39.0
27.569805670818646,38.11
34.99779275573934,66.82
37.43109395209236,27.92
30.292500430644786,14.59
35.533412698082,49.77
31.592176341078375,6.879999999999999
37.4901054838061,43.89
35.15310808992017,34.74
36.886899582367654,25.18
32.4507442432441,23.51
28.228390285168828,41.93
33.83404991526162,41.67
36.19358547874215,23.4
33.32290318856225,21.92
34.35903814370241,10.54
33.59806210806668,25.42
34.808119494306304,56.1
37.090773886565344,16.110000000000003
35.4271886214777,32.92
35.24749210023043,42.8
34.115047754565644,15.57
33.385305445587804,66.78
37.115768029699,30.08
32.52915068504487,21.95
31.86213853881158,32.33
36.974976427052034,47.81
31.82915695265067,12.18
33.24874532110697,50.6
32.87238709016681,24.4
33.181113273588814,17.54
35.2183259632707,31.38
32.86739446958097,55.5
33.93360510097853,6.899999999999999
34.23541084781788,22.44
35.7642824732411,15.05
34.140386145998555,47.71
35.76073515340714,23.35
33.86856751848676,81.75
36.20544677379447,41.05
34.39093952781717,66.95
35.627806874147076,56.74
35.206730757356304,77.3
34.87554536194023,14.2
32.33002120067782,33.3
30.936424815080052,17.96
35.65537116096173,57.03
33.76627595696781,23.64
33.84141851654769,30.22
30.954619570876886,32.1
34.56335414759542,40.66
35.69118833902172,24.43
35.151698445353176,14.310000000000002
33.56571173168501,18.02
32.15729866541432,11.39
27.609213673093407,39.0
37.58136379589155,19.2
35.454627301697165,55.25
