Accuracy,StepsNum,SAGA,Method
485486.70107130654,500,False,NADAM
562470.6498304207,1000,False,NADAM
430797.45730590436,750,False,NADAM
579440.6872258238,745,False,NADAM
445181.23582658643,2000,False,NADAM
401447.83681692375,2000,False,NADAM
433431.26554016036,1000,False,NADAM
510591.11452072096,1000,False,NADAM
710862.1728879495,1000,False,NADAM
961984.4868777342,1000,False,NADAM
769749.4325538138,2500,False,NADAM
719126.1398103825,1000,False,NADAM
719126.1398103825,1000,False,NADAM
708896.8456913946,1000,False,RMSPROP
822282.3465826915,5000,False,ADAGRAD
816304.0509050217,5000,False,NADAM
833703.1405174503,500,False,NADAM
790534.3278718088,500,False,NADAM
717921.7228265171,5000,False,NADAM
nan,1000,False,NADAM
