Accuracy,StepsNum,SAGA,Method
526837.208592879,500,False,NADAM
552630.1703563108,1000,False,NADAM
429859.8587289676,750,False,NADAM
601627.8678454341,745,False,NADAM
456955.2989020292,2000,False,NADAM
403289.82363934326,2000,False,NADAM
446297.28113211435,1000,False,NADAM
502674.0251767409,1000,False,NADAM
695045.1876358134,1000,False,NADAM
904649.5688206414,1000,False,NADAM
732408.7933579886,2500,False,NADAM
690203.6235060615,1000,False,NADAM
690203.6235060615,1000,False,NADAM
702162.9541410403,1000,False,RMSPROP
960978.2125891384,5000,False,ADAGRAD
833920.1490691085,5000,False,NADAM
803269.4544709892,500,False,NADAM
761251.326702927,500,False,NADAM
723602.093902761,5000,False,NADAM
nan,1000,False,NADAM
