Classified,Real
[[560.00362135]],326.0
[[560.00362135]],326.0
[[560.00362135]],335.0
[[560.00362135]],336.0
[[560.00362135]],336.0
[[560.00362135]],340.0
[[560.00362135]],342.0
[[560.00362135]],344.0
[[560.00362135]],345.0
[[560.00362135]],348.0
[[560.00362135]],351.0
[[560.00362135]],352.0
[[560.00362135]],353.0
[[560.00362135]],353.0
[[560.00362135]],357.0
[[560.00362135]],402.0
[[560.00362135]],402.0
[[560.00362135]],402.0
[[560.00362135]],402.0
[[560.00362135]],402.0
[[560.00362135]],402.0
[[560.00362135]],403.0
[[560.00362135]],403.0
[[560.00362135]],403.0
[[560.00362135]],403.0
[[560.00362135]],404.0
[[560.00362135]],405.0
[[560.00362135]],405.0
[[664.43078165]],552.0
[[610.42079559]],552.0
[[662.28504886]],553.0
[[560.00362135]],553.0
[[560.00362135]],554.0
[[560.00362135]],554.0
[[560.00362135]],554.0
[[560.00362135]],554.0
[[627.02110591]],554.0
[[716.71601859]],554.0
[[560.00362135]],554.0
[[625.14934092]],554.0
[[564.88127136]],554.0
[[565.30341062]],554.0
[[2638.37782121]],2759.0
[[3386.22138551]],2759.0
[[2794.26766295]],2760.0000000000005
[[2609.3482793]],2760.0000000000005
[[2601.35213243]],2760.0000000000005
[[2881.8455766]],2761.0
[[2790.34698694]],2761.0
[[2746.90605587]],2761.0
[[2680.23767589]],2761.0
[[2542.93956924]],2761.0
[[3318.90170666]],2761.0
[[2275.21746936]],2762.0000000000005
[[3020.35567679]],2762.0000000000005
[[2511.75572009]],2762.0000000000005
[[2857.53344461]],2762.0000000000005
[[2701.88652926]],2762.0000000000005
[[2375.40130638]],2762.0000000000005
[[2711.69852908]],2763.0
[[3287.50967196]],2763.0
[[2714.04561714]],2763.0
[[2665.67341528]],2765.0
[[2920.64862396]],2765.0
[[2808.03760069]],2765.0
[[2805.28537244]],2765.0
[[2435.72433463]],2765.0
[[2351.59327761]],2765.9999999999995
[[2418.46435684]],2765.9999999999995
[[3021.03388366]],2767.0
[[3005.89316668]],2767.0
[[2416.85173336]],2767.9999999999995
[[2490.29730612]],2767.9999999999995
[[2326.03481854]],2767.9999999999995
[[2631.56763299]],2770.0
[[2726.15985945]],2770.0
[[2419.78980009]],2770.0
[[2413.48944537]],2770.0
[[2962.7737682]],2771.0
[[2433.53449158]],2771.0
[[2713.396093]],2771.0
[[3522.04256933]],2772.0
[[2658.12194095]],2772.0
[[2580.62012693]],2772.0
[[2696.01164324]],2772.0
[[2689.41418091]],2772.0
[[2781.5091813]],2773.0
[[3921.82118723]],2774.0
[[2576.23674252]],2774.0
[[2791.23805375]],2775.0
[[2398.14506388]],2776.0
[[2893.60228553]],2776.0
[[3149.60935518]],2776.0
[[2362.26951234]],2776.0
[[2322.63193895]],2776.0
[[2502.83180094]],2777.0
[[2540.61968414]],2777.0
[[2559.52362486]],2777.0
[[2892.44249451]],2777.0
[[2630.37241228]],2777.0
[[2454.11304401]],2777.0
[[2456.36293307]],2777.0
[[2626.52708979]],2777.0
[[2309.5434991]],2777.0
[[2367.18801673]],2777.0
[[2380.55119108]],2777.0
[[2590.22384688]],2777.0
[[2600.16403297]],2777.0
[[2296.0098256]],2777.0
[[2360.50598379]],2779.0
[[2879.01803507]],2779.0
[[2537.92781348]],2780.0
[[2582.32967241]],2780.0
[[2431.7379817]],2781.0
[[2581.06508813]],2782.0
[[2281.89961269]],2782.0
[[2696.52005254]],2782.0
[[2736.98710849]],2784.0
[[3219.27327758]],2784.0
[[2687.77730107]],2787.0
[[2152.06456226]],2787.0
[[3009.97972319]],2787.0
[[3175.99415539]],2788.0
[[3241.43037053]],2788.0
[[3051.21349746]],2788.0
[[2445.83624514]],2788.0
[[3153.71294231]],2788.0
[[3257.29258574]],2788.0
[[2766.96090816]],2789.0
[[2806.90610294]],2789.0
[[2712.01937919]],2789.0
[[2702.04838598]],2789.0
[[3655.62486576]],2789.0
[[2598.66372989]],2789.0
[[2351.2472848]],2789.0
[[3623.69652304]],2790.0
[[3264.92385954]],2790.0
[[2949.25016064]],2790.0
[[2760.07931245]],2790.0
[[2886.37273582]],2790.0
[[2988.9599018]],2791.0
[[2688.48412039]],2791.0
[[2427.34395689]],2792.0
[[2541.42839011]],2792.0
[[2868.23488717]],2792.0
[[2845.48209395]],2792.0
[[3127.60320943]],2792.0
[[2837.39899768]],2793.0
[[3262.89487156]],2794.0
[[2988.95476276]],2795.0
[[2906.39086129]],2795.0
[[2379.33102556]],2797.0
[[2689.21760986]],2797.0
[[2515.22760222]],2797.0
[[2763.87514555]],2797.0
[[2522.65247184]],2797.0
[[2901.44500505]],2797.0
[[2729.85925533]],2798.0
[[2830.85402667]],2799.0
[[2507.73385998]],2800.0
[[2882.55320738]],2800.0
[[2989.09307698]],2800.0
[[2894.01954741]],2800.0
[[3496.1999424]],2801.0
[[2991.48414012]],2801.0
[[2746.23138995]],2801.0
[[2451.07827694]],2801.0
[[2549.31166719]],2801.0
[[2611.31753041]],2801.0
[[2616.84413423]],2801.0
[[3453.14056041]],2801.0
[[3026.67346621]],2802.0
[[3224.63159058]],2802.0
[[2770.44456214]],2803.0
[[2314.82261471]],2803.0
[[2665.9168238]],2803.0
[[2274.67966588]],2803.0
[[2945.38692806]],2803.0
[[2801.22107838]],2803.0
[[4169.82999385]],2803.0
[[2773.04610564]],2804.0
[[3108.14284344]],2804.0
[[3047.52908975]],2804.0
[[2660.37284049]],2804.0
[[2938.46538757]],2804.0
[[2411.51168739]],2804.0
[[2747.93557726]],2805.0
[[3269.29770295]],2805.0
[[2660.19497691]],2806.0
[[3646.09379758]],2806.0
[[2390.54469378]],2806.0
[[2893.82445883]],2807.0
[[3121.1409088]],2807.0
[[2284.74483013]],2807.0
[[2816.34388517]],2808.0
[[2548.84716825]],2808.0
[[2765.03135643]],2808.0
[[2958.25687584]],2808.0
[[2819.01122065]],2809.0
[[2968.9002277]],2809.0
[[4158.14973322]],2809.0
[[2768.33280031]],2810.0
[[2489.16579148]],2811.0
[[3820.65850729]],2811.0
[[2949.24226424]],2811.0
[[2488.05415556]],2812.0
[[2429.11807024]],2812.0
[[2365.39735531]],2812.0
[[560.00362135]],554.0
[[560.00362135]],554.0
[[560.00362135]],554.0
[[560.00362135]],554.0
[[560.00362135]],554.0
[[560.00362135]],554.0
[[560.00362135]],554.0
[[560.00362135]],554.0
[[560.00362135]],554.0
[[560.00362135]],554.0
[[570.61084643]],555.0
[[577.0546539]],555.0
[[575.05379559]],555.0
[[592.95075005]],555.0
[[626.98224801]],555.0
[[578.9696877]],555.0
[[594.7419519]],555.0
[[560.00362135]],556.0
[[560.00362135]],556.0
[[648.10073136]],556.0
[[2471.40285045]],2812.0
[[2773.36426738]],2812.0
[[2665.71188999]],2814.0
[[2189.18505295]],2815.0000000000005
[[2836.03476027]],2815.0000000000005
[[2144.1404822]],2815.0000000000005
[[2123.64061751]],2815.0000000000005
[[2747.37385987]],2815.0000000000005
[[3145.75336245]],2815.0000000000005
[[2584.14655516]],2815.0000000000005
[[3308.59955096]],2815.0000000000005
[[3197.10056415]],2816.0
[[2722.70609293]],2816.0
[[2512.26259912]],2817.0000000000005
[[2724.58614038]],2817.0000000000005
[[2395.90265143]],2817.0000000000005
[[2504.81040064]],2817.0000000000005
[[2497.77249803]],2817.0000000000005
[[2692.12371442]],2818.0
[[2543.2255224]],2818.0
[[2955.54268059]],2818.0
[[3135.39997034]],2818.0
[[3368.75855637]],2818.0
[[2473.53320756]],2818.0
[[2787.83922226]],2819.0000000000005
[[2992.68098413]],2819.0000000000005
[[2818.53301477]],2820.9999999999995
[[2611.61958454]],2820.9999999999995
[[2666.14664278]],2820.9999999999995
[[2758.91346422]],2820.9999999999995
[[3013.4547135]],2822.0
[[2801.0290992]],2822.0
[[2795.42523207]],2822.0
[[2928.22062414]],2822.0
[[2483.60367359]],2822.0
[[3369.65772292]],2822.0
[[2657.50778659]],2822.0
[[2625.83103015]],2822.0
[[2777.94518665]],2822.0
[[2720.22503851]],2822.0
[[2826.44983157]],2822.0
[[2644.29695178]],2822.0
[[2595.56949378]],2822.0
[[2535.06247476]],2822.0
[[2947.66489401]],2822.9999999999995
[[3034.47093365]],2822.9999999999995
[[3089.82550272]],2824.0
[[3548.07883876]],2824.0
[[2407.57045546]],2824.9999999999995
[[3747.19442772]],2824.9999999999995
[[2293.57272097]],2824.9999999999995
[[3162.12047977]],2826.0
[[2299.8450178]],2826.0
[[3002.23610005]],2826.0
[[2954.22083656]],2826.0
[[2663.66701234]],2826.0
[[3592.08447683]],2826.0
[[2641.18837183]],2827.0
[[3258.8086043]],2827.0
[[3679.79732042]],2827.0
[[3259.58646715]],2827.0
[[2420.43217144]],2828.0
[[3000.13743354]],2829.0
[[2858.8644126]],2829.0
[[2503.26491292]],2829.0
[[2665.42573533]],2829.0
[[2787.62123111]],2830.0
[[3626.19258038]],2830.0
[[2348.51633087]],2830.0
[[3183.8823351]],2830.0
[[2516.44376842]],2831.0
[[2606.06049582]],2831.0
[[2826.94155509]],2831.0
[[2714.04834511]],2831.0
[[2843.5856089]],2832.0
[[2560.38525101]],2832.0
[[2907.01614944]],2832.0
[[2946.72640636]],2833.0
[[3176.12322447]],2833.0
[[2653.24118499]],2833.0
[[2653.06190425]],2833.0
[[3153.56342425]],2834.0
[[2324.14922848]],2834.0
[[2629.25648221]],2834.0
[[3074.63095703]],2834.0
[[2616.6220959]],2834.0
[[2856.42459668]],2834.0
[[3500.88343156]],2835.0
[[2745.19806667]],2835.0
[[2848.02340707]],2835.0
[[3193.41956088]],2837.0
[[3401.41231431]],2837.0
[[2486.10082885]],2838.0
[[2711.7625502]],2838.0
[[2924.25566008]],2838.0
[[2467.8964664]],2838.0
[[2751.44879964]],2838.0
[[2439.03603888]],2838.0
[[2398.4917976]],2838.0
[[3105.81057593]],2839.0
[[3370.55062706]],2839.0
[[2778.32295923]],2839.0
[[2711.52090294]],2839.0
[[2749.04430745]],2839.0
[[2646.39827748]],2839.0
[[2880.47817259]],2839.0
[[2721.83203233]],2839.0
[[3045.92011661]],2839.0
[[2844.35493014]],2839.0
[[2932.09470257]],2839.0
[[2918.85439236]],2840.0
[[2401.8611418]],2840.0
[[2547.1923735]],2840.0
[[2729.96174043]],2841.0
[[2826.29259646]],2841.0
[[2795.68630362]],2841.0
[[2269.34364415]],2841.0
[[3491.80011671]],2841.0
[[2909.15038468]],2841.0
[[2611.71912529]],2841.0
[[2296.57507053]],2842.0
[[2772.95435018]],2843.0
[[2691.60103395]],2843.0
[[3049.85779376]],2843.0
[[2953.47166929]],2843.0
[[2656.53334448]],2843.0
[[3313.95321613]],2843.0
[[2523.44388278]],2844.0
[[2854.32720164]],2844.0
[[2653.45693293]],2845.0
[[2776.42572414]],2845.0
[[5197.63421775]],2845.0
[[2999.21517006]],2846.0
[[2943.5783653]],2846.0
[[2837.5476395]],2846.0
[[2546.76691073]],2846.0
[[2707.53545448]],2846.0
[[3198.55280514]],2846.0
[[2876.42588423]],2847.0
[[2717.92568118]],2847.0
[[3051.90174561]],2847.0
[[2595.30363078]],2848.0
[[2549.30955779]],2848.0
[[3137.68712878]],2849.0
[[3591.38965573]],2849.0
[[2796.24265854]],2850.0
[[4456.88163545]],2850.0
[[2972.8042934]],2851.0
[[3198.21115307]],2851.0
[[2746.39589153]],2852.0
[[2494.02582877]],2852.0
[[3102.94336009]],2852.0
[[2562.90220552]],2853.0
[[2744.10732984]],2853.0
[[2896.30631467]],2853.0
[[3122.21972308]],2854.0
[[3692.91223847]],2854.0
[[2593.44894613]],2854.0
[[2665.29098563]],2854.0
[[3232.18154882]],2854.0
[[2690.18515884]],2855.0
[[3359.12828107]],2855.0
[[3529.69666608]],2855.0
[[2640.9421599]],2856.0
[[2550.61190876]],2856.0
[[2579.64744776]],2856.0
[[3029.47049297]],2856.0
[[652.84431976]],556.0
[[560.00362135]],556.0
[[560.00362135]],556.0
[[560.54538809]],556.0
[[575.66400365]],556.0
[[569.3597436]],556.0
[[667.157979]],556.0
[[635.68185205]],557.0
[[656.17342632]],557.0
[[646.59398727]],557.0
[[641.17635623]],557.0
[[646.89769502]],557.0
[[565.57966173]],557.0
[[560.00362135]],557.0
[[560.10652517]],557.0
[[615.43769588]],557.0
[[560.00362135]],557.0
[[560.00362135]],557.0
[[2783.50316354]],2856.0
[[3425.85986711]],2857.0
[[2722.95785505]],2857.0
[[3254.79745488]],2857.0
[[2576.49828456]],2857.0
[[2977.89503069]],2858.0
[[3120.90683679]],2858.0
[[2717.57977102]],2858.0
[[2710.79265077]],2858.0
[[2913.71096383]],2858.0
[[3809.30215747]],2858.0
[[3051.1948491]],2859.0
[[2826.07008143]],2859.0
[[2451.57251459]],2860.0
[[2805.08624451]],2860.0
[[2416.20071632]],2861.0
[[2481.77758836]],2861.0
[[4261.26164141]],2861.0
[[2797.91390567]],2861.0
[[2710.77107489]],2862.0
[[2930.86185925]],2862.0
[[2983.97829583]],2862.0
[[2865.10081749]],2862.0
[[4194.27247226]],2862.0
[[3133.61088412]],2862.0
[[2645.69604795]],2862.0
[[5351.04860342]],2862.0
[[2996.12502557]],2862.0
[[3292.13053258]],2863.0
[[2805.45915259]],2863.0
[[2729.7774223]],2863.0
[[2789.15984512]],2863.0
[[2737.1882417]],2863.0
[[2820.23896365]],2863.0
[[2796.30731342]],2863.0
[[2920.04720278]],2863.0
[[2460.54617463]],2863.0
[[3020.89336657]],2863.0
[[2843.2422866]],2865.0
[[3245.52589494]],2866.0
[[3304.6592545]],2866.0
[[3497.93655967]],2866.0
[[3268.94837319]],2866.0
[[3322.96484741]],2866.0
[[3350.61411443]],2867.0
[[3381.04272686]],2867.0
[[2810.1637651]],2867.0
[[2850.66992592]],2867.0
[[3086.58897047]],2867.0
[[2917.9973205]],2867.0
[[2588.11693195]],2867.0
[[2627.06896436]],2869.0
[[3216.0219113]],2869.0
[[2989.33812964]],2869.0
[[3219.3525637]],2870.0
[[2828.73654064]],2870.0
[[2406.90096392]],2870.0
[[3407.45631409]],2870.0
[[2570.90761121]],2871.0
[[2631.61737242]],2871.0
[[2248.94649018]],2871.0
[[2768.81665073]],2871.0
[[2418.71906169]],2872.0000000000005
[[3302.55406822]],2872.0000000000005
[[2336.85801231]],2872.0000000000005
[[2759.75174372]],2872.0000000000005
[[2719.49650703]],2872.0000000000005
[[2606.4480935]],2872.0000000000005
[[2922.44735614]],2872.0000000000005
[[2973.44366447]],2872.0000000000005
[[2570.93409778]],2873.0
[[2513.07299568]],2873.0
[[2667.00116037]],2873.0
[[2496.55788557]],2873.0
[[2632.55233902]],2873.0
[[2628.97379713]],2874.0000000000005
[[2692.95747223]],2874.0000000000005
[[2864.70012866]],2874.0000000000005
[[3036.08927991]],2874.0000000000005
[[2692.81102601]],2875.0
[[2465.21505977]],2875.0
[[3971.90604197]],2875.0
[[2687.0223074]],2875.0
[[3059.82267791]],2875.0
[[3518.01212742]],2876.0000000000005
[[3556.22957775]],2877.0
[[2704.76593253]],2877.0
[[3162.75329806]],2877.0
[[2830.52240352]],2877.9999999999995
[[2711.58375342]],2877.9999999999995
[[2960.04362745]],2877.9999999999995
