K,Error
0,0.6820088507321372
1,0.6779552147379293
2,0.673554962687445
3,0.6691487829449135
4,0.6653509592133348
5,0.6617083846791888
6,0.6578665841473212
7,0.6541997425737034
8,0.650701216284462
9,0.647228489070816
10,0.6439864142500761
11,0.6408161548261785
12,0.6376202074386373
13,0.6344539437276692
14,0.6313017033372061
15,0.6284849008865979
16,0.6255852938306135
17,0.6226720576010936
18,0.6194828995834838
19,0.6165553727029306
20,0.6135885003036434
21,0.6106578211749977
22,0.6078043372209214
23,0.6047330951904587
24,0.601457891744432
25,0.5983863408066258
26,0.5951219697224283
27,0.5919003773236694
28,0.5886667832647785
29,0.5852894703966992
30,0.5820047595949036
31,0.5784146103861302
32,0.574909981323333
33,0.5713006172411246
34,0.5679058740986623
35,0.5643490755953099
36,0.5609198554209496
37,0.5571395003428071
38,0.5533796326123194
39,0.549409696974434
40,0.5455146339837035
41,0.5417231746288513
42,0.5376753028538982
43,0.5334964612410278
44,0.5293880102812313
45,0.5250920212450596
46,0.5208448077893637
47,0.5168944510459734
48,0.5125207398078102
49,0.5085384660521266
50,0.5041599142721179
51,0.49921434800392805
52,0.49447133756113565
53,0.48992427379181813
54,0.48553890246489295
55,0.48095692971969906
56,0.4764390510361566
57,0.471886654024669
58,0.46729763198657875
59,0.4631455097475243
60,0.4583285363691572
61,0.4538746007768074
62,0.4491323696988875
63,0.4446466611792899
64,0.44021298757358224
65,0.435998583371683
66,0.43139608118377887
67,0.4268538242216498
68,0.42277329354456794
69,0.41854904289472383
70,0.41468898750512756
71,0.41032697934049644
72,0.40596992409141963
73,0.40220980111574134
74,0.3976499320329002
75,0.39384048495264135
76,0.3900781171207087
77,0.3863024547033027
78,0.3826242728028027
79,0.37934386426079086
80,0.3753646708887965
81,0.371649820510451
82,0.36793294786756076
83,0.3645465691515155
84,0.36124179590115807
85,0.357934800424631
86,0.3550106475797929
87,0.3522416410678094
88,0.3491442029414169
89,0.3461594065398616
90,0.3432606521590048
91,0.3402941887921948
92,0.33770270704614463
93,0.33531595308757794
94,0.3326196014020564
95,0.3302921238135847
96,0.3274231991771151
97,0.32472268008058436
98,0.32247045500853794
99,0.32011496327088607
100,0.3178256872585789
101,0.3159268890024002
102,0.31380659512169873
103,0.31155766987020733
104,0.30952489488665286
105,0.3073344901497656
106,0.30534555646114286
107,0.30321694479495637
108,0.3012246113649634
109,0.29930171824955604
110,0.2973377608928
111,0.2955423407118118
112,0.2936608542280833
113,0.29205531875233265
114,0.290407524468929
115,0.28850268969528503
116,0.2869705246479238
117,0.2852854351710984
118,0.2837257462454538
119,0.28210285447874794
120,0.28086369871039996
121,0.27937540310032066
122,0.27817344504074143
123,0.276616992729172
124,0.27493623959369534
125,0.2732269238735078
126,0.2716974642665003
127,0.2702484895031954
128,0.2689513653222431
129,0.2676326028695884
130,0.26625650979022764
131,0.26497597591456007
132,0.2637632767642737
133,0.26251131608009587
134,0.26134145960922756
135,0.2602399431342481
136,0.2592496082761706
137,0.2582237938836537
138,0.25736169403352405
139,0.2562211263788981
140,0.2551456441570343
141,0.25419079859832283
142,0.2529501821274784
143,0.25241499330880907
144,0.25191832660414215
145,0.25079063713865246
146,0.24929817161426052
147,0.24824505409696687
148,0.24714797601278066
149,0.24625056641392182
