Classified,Real
[[9704541.28963655]],13300000.0
[[12191370.7168012]],12250000.0
[[10793761.99173865]],12215000.0
[[11156229.4737331]],10150000.0
[[9539060.58536212]],10150000.0
[[8585919.68502763]],9870000.0
[[9242071.09684218]],9681000.0
[[7960952.21388024]],9310000.0
[[7970700.58347544]],9100000.0
[[8634745.12568482]],8960000.0
[[7815635.01979746]],8750000.0
[[8715166.87445208]],8540000.0
[[8582103.84401339]],8400000.0
[[7404487.10806452]],8295000.0
[[7109901.27218309]],8120000.0
[[8304278.5300977]],8080940.0
[[7579820.72353776]],7962500.0
[[7058147.68992534]],7910000.0
[[8283295.79615998]],7700000.0
[[7031075.1965299]],7420000.0
[[8254296.68584425]],7420000.0
[[7138570.46661774]],7420000.0
[[7339565.33776153]],7350000.0
[[6848382.50368765]],7350000.0
[[5132335.76307624]],7350000.0
[[8619731.74562608]],7245000.0
[[6961643.48507793]],7210000.0
[[5613216.90266624]],7140000.0
[[5066010.68890383]],7070000.0
[[6837032.84104188]],7070000.0
[[9469201.99793487]],7035000.0
[[7019014.50358296]],7000000.0
[[5379573.83875791]],6860000.0
[[7946336.49887149]],6790000.0
[[7439936.84102868]],6755000.0
[[6619312.93840896]],6685000.0
[[6897652.16451222]],6650000.0
[[6049945.05738874]],6650000.0
[[7076917.88089642]],6650000.0
[[7097299.52901688]],6650000.0
[[6585013.26707547]],6650000.0
[[6287360.14587191]],6650000.0
[[6218551.18104898]],6629000.0
[[5300813.22557097]],6615000.0
[[7823051.24781897]],6615000.0
[[6026644.14171431]],6510000.0
[[5722121.62037239]],6510000.0
[[7478643.14931331]],6475000.0
[[7256681.19064472]],6440000.0
[[6110854.85581223]],6405000.0
[[6410056.02769385]],6300000.0
[[6158218.53236766]],6300000.0
[[5993288.80049459]],6300000.0
[[5620296.7406998]],6230000.0
[[7033486.16263136]],6195000.0
[[6259859.63344773]],6195000.0
[[6067848.09071128]],6160000.0
[[6532877.46008829]],6160000.0
[[5654368.4909209]],6125000.0
[[4591145.98744228]],6107500.0
[[6251824.31603295]],6090000.0
[[7321644.53035107]],6090000.0
[[5630766.77853236]],6083000.0
[[5688176.31009386]],6020000.0
[[5748060.26495971]],6020000.0
[[5647624.50126702]],5950000.0
[[4972756.69236383]],5950000.0
[[5862446.40528657]],5950000.0
[[6228794.39428498]],5950000.0
[[5961659.81793795]],5950000.0
[[5967712.86737146]],5950000.0
[[5190418.19532956]],5950000.0
[[6289670.21860465]],5880000.0
[[5447773.07034828]],5873000.0
[[5904867.26342022]],5873000.0
[[4218772.44165501]],5866000.0
[[5710818.80791422]],5810000.0
[[5203623.92701309]],5810000.0
[[6008371.54956693]],5803000.0
[[6518851.71972234]],5740000.0
[[4359864.58059039]],5740000.0
[[4992350.17475594]],5740000.0
[[6703344.73043432]],5740000.0
[[6002225.37456749]],5600000.0
[[5503660.84606748]],5600000.0
[[5216716.58289256]],5600000.0
[[4608553.30985843]],5600000.0
[[5189342.71315357]],5600000.0
[[5960645.72715584]],5600000.0
[[6371805.78556704]],5565000.0
[[6722012.83139464]],5565000.0
[[5680931.51705332]],5530000.0
[[5004300.07534022]],5530000.0
[[5458550.84710514]],5523000.0
[[4327640.47390026]],5495000.0
[[4720958.19793868]],5495000.0
[[6333339.12657755]],5460000.0
[[6173226.60434153]],5460000.0
[[5680240.28396769]],5425000.0
[[5965317.64852382]],5383000.0
[[5459033.47100445]],5285000.0
[[5249141.37493529]],5250000.0
[[6161939.65382208]],5250000.0
[[5897753.09859099]],5250000.0
[[4879391.605994]],5243000.0
[[5178320.88039162]],5215000.0
[[4545285.14020552]],5145000.0
[[4748551.0281426]],5145000.0
[[4364766.67886752]],5110000.0
[[5004024.64322554]],5110000.0
[[4998157.06615492]],5075000.0
[[4210651.12462841]],5040000.0
[[5499804.64540842]],5040000.0
[[6014529.20434919]],4970000.0
[[5969071.22338203]],4970000.0
[[3849533.01363327]],4907000.0
[[4555747.42689723]],4900000.0
[[4315581.89837732]],4900000.0
[[4468081.97201412]],4900000.0
[[5077640.06434967]],4900000.0
[[4947299.63930328]],4900000.0
[[4361728.00857874]],4900000.0
[[4373616.48450825]],4900000.0
[[3467660.52419608]],4900000.0
[[5261247.9656404]],4900000.0
[[5856805.9028178]],4893000.0
[[5427743.68920798]],4893000.0
[[3356520.82066455]],4865000.0
[[4780206.56257357]],4830000.0
[[6420783.96075678]],4795000.0
[[5060348.91387754]],4760000.0
[[6078242.03495967]],4760000.0
[[5417927.8093071]],4690000.0
[[4517632.46046263]],4690000.0
[[4055727.56252659]],4690000.0
[[4361751.42324287]],4690000.0
[[4290493.73951375]],4690000.0
[[4248050.8323764]],4655000.0
[[4254154.83089219]],4620000.0
[[5144757.48033864]],4613000.0
[[3814270.52181796]],4585000.0
[[4257439.17375754]],4550000.0
[[5156969.84673501]],4550000.0
[[5096732.87200767]],4550000.0
[[5117650.18610648]],4543000.0
[[4424280.6074657]],4515000.0
[[4251270.97222009]],4515000.0
[[4938005.07060004]],4515000.0
[[3470632.71521455]],4515000.0
[[4775255.00819056]],4480000.0
[[4147650.45810782]],4480000.0
[[4165217.14951364]],4480000.0
[[4576240.61637648]],4473000.0
[[4794748.53277999]],4473000.0
[[4061647.77072414]],4473000.0
[[4678809.53296106]],4445000.0
[[3947655.92006624]],4410000.0
[[4178817.22520687]],4403000.0
[[5008644.63485784]],4382000.0
[[3038206.77711427]],4375000.0
[[5462744.97818698]],4340000.0
[[3959537.73579127]],4340000.0
[[4277015.24959294]],4340000.0
[[3804843.30999147]],4319000.0
[[3864854.83023243]],4305000.0
[[4752527.74518044]],4305000.0
[[4093205.33068692]],4270000.0
[[3662529.17220708]],4270000.0
[[4474672.00060492]],4270000.0
[[4081848.67586767]],4270000.0
[[3883729.33631516]],4235000.0
[[4459523.60164794]],4200000.0
[[4836385.03031524]],4200000.0
[[4697392.84690209]],4200000.0
[[3708534.22566394]],4200000.0
[[3904563.7172212]],4200000.0
[[2798374.44890981]],4200000.0
[[4179579.1560401]],4200000.0
[[4467392.69998013]],4200000.0
[[4477665.58147086]],4200000.0
[[4414474.98832994]],4200000.0
[[4890416.48641923]],4200000.0
[[4019106.09424525]],4193000.0
[[4169966.80018786]],4165000.0
[[4938848.21862128]],4130000.0
[[4528668.84314305]],4123000.0
[[4357318.85131032]],4098500.0
[[3928466.7349518]],4095000.0
[[3984216.76754247]],4060000.0
[[4933569.185977]],4060000.0
[[4598192.26185896]],4060000.0
[[4838357.60635388]],4025000.0
[[4681611.11224]],4007500.0
[[4265794.12380339]],3990000.0
[[4402997.5364339]],3920000.0
[[4524381.61786456]],3920000.0
[[5027049.66763214]],3920000.0
[[4485316.618133]],3920000.0
[[4082411.13449019]],3885000.0
[[3661242.06201814]],3850000.0
[[3635979.17681396]],3850000.0
[[4320731.11194089]],3850000.0
[[4476571.83974098]],3850000.0
[[2923221.10363921]],3836000.0
[[3431301.97416773]],3815000.0
[[4454401.44886985]],3780000.0
[[4213559.53821183]],3780000.0
[[4234837.44678065]],3773000.0
[[4536649.92900176]],3773000.0
[[3679196.7204459]],3773000.0
[[3841817.27669518]],3745000.0
[[2660551.06111897]],3710000.0
[[3656848.51676524]],3710000.0
[[4168745.66816434]],3710000.0
[[3610265.50209167]],3710000.0
[[4133698.18483466]],3703000.0
[[3902956.30730091]],3703000.0
[[3516186.31470299]],3675000.0
[[4099894.20929686]],3640000.0
[[3298737.20672049]],3640000.0
[[4006032.29561036]],3640000.0
[[5057402.62545428]],3640000.0
[[3797525.06678799]],3640000.0
[[4638163.76640246]],3640000.0
[[4386711.07270247]],3633000.0
[[3890193.27631835]],3605000.0
[[4143144.91922585]],3570000.0
[[3109286.75710446]],3570000.0
[[2798356.00605538]],3535000.0
[[4579675.45570836]],3500000.0
[[2985940.56189833]],3500000.0
[[4393024.01207716]],3500000.0
[[2701691.15262023]],3500000.0
[[4050215.7789146]],3500000.0
[[3818658.0969366]],3500000.0
[[3781377.4704273]],3500000.0
[[3690897.38605247]],3500000.0
[[2964940.93780787]],3500000.0
[[4763952.79308446]],3500000.0
[[3211020.89591788]],3493000.0
[[2705380.68741403]],3465000.0
[[3401721.55475228]],3465000.0
[[2869759.46712924]],3430000.0
[[3969261.47680189]],3430000.0
[[3814368.61192014]],3430000.0
[[4063403.87260269]],3430000.0
[[2878090.39430718]],3423000.0
[[5005852.6241635]],3395000.0
[[4128908.83824045]],3395000.0
[[3524548.90913754]],3395000.0
[[3194223.88387229]],3360000.0
[[3025964.35171572]],3360000.0
[[3282862.74930789]],3360000.0
[[4655752.39758315]],3360000.0
[[2807644.8650352]],3353000.0
[[3870849.98297817]],3332000.0
[[3213181.59676239]],3325000.0
[[4122808.88181029]],3290000.0
[[3211586.70744868]],3290000.0
[[4317215.47254083]],3290000.0
[[3870849.98297817]],3290000.0
[[3135413.91026188]],3290000.0
[[2920304.01035858]],3255000.0
[[3693065.24004433]],3234000.0
[[3136467.26172023]],3220000.0
[[3355999.97079075]],3220000.0
[[3247357.35571455]],3220000.0
[[3594849.42294143]],3150000.0
[[3416664.46597016]],3150000.0
[[3182431.75966795]],3150000.0
[[4649812.34192771]],3150000.0
[[2541928.41232962]],3150000.0
[[4179920.30938482]],3143000.0
[[3626391.62009977]],3129000.0
