K,Norm
0,7.541662413512363
1,8.874608658072363
2,10.38218693989898
3,7.9706221324313615
4,8.591550810088078
5,6.0764295719957
6,9.700575919550504
7,7.84039794273032
8,9.343145659334724
9,7.833593595323972
10,8.697319091585996
11,8.328674714942723
12,5.893575300034505
13,7.405854078076336
14,10.722023858176936
15,6.218575810186209
16,6.700165017513682
17,6.169031116781868
18,25.670730174943998
19,10.558821019866524
20,12.067783378925073
21,6.736547502634018
22,5.142374891096592
23,8.092041132496187
24,15.158441988082885
25,13.069006889188833
26,11.315522072197858
27,7.022777684575221
28,9.335193727766253
29,4.987061479103014
30,6.736659894455632
31,16.34586100175617
