Accuracy,EpochsNum,SAGA,Replacement,Method,ExecutionTime,NetworkConfig,LambdaL1,LambdaL2
0.9793650793650793,5,False,False,NADAM,0:01:08.065363,"[128, 128]",0.0,0.0
0.9313095238095238,1,False,False,NADAM,0:00:13.586642,"[128, 128]",0.0,0.0
0.9924603174603175,10,False,False,NADAM,0:02:30.506268,"[128, 128]",0.0,0.0
0.986468253968254,5,False,False,NADAM,0:01:07.736897,"[128, 128]",0.0,0.0
0.8515079365079365,5,False,False,DIMINISHING,0:01:07.021810,"[128, 128]",0.0,0.0
0.9010714285714285,5,False,False,ADAGRAD,0:01:07.613225,"[128, 128]",0.0,0.0
0.9823809523809524,5,False,False,RMSPROP,0:01:08.391115,"[128, 128]",0.0,0.0
0.9756746031746032,5,False,False,ADAM,0:01:08.974556,"[128, 128]",0.0,0.0
0.986468253968254,5,False,False,NADAM,0:01:12.862048,"[128, 128]",0.0,0.0
0.3473809523809524,1,True,False,NADAM,0:07:55.150611,"[128, 128]",0.0,0.0
