Classified,Real
[2881.69703151],933.0
[3515.54968416],734.0
[2896.32853921],1000.0
[2942.52840697],7600.0
[2916.19770705],1600.0
[5294.26218542],885.0
[4700.92984478],29700.0
[3181.7157074],1600.0
[4544.91462823],2100.0
[3957.86324405],718.0
[3104.59572652],717.0
[2950.58396185],1500.0
[3067.52879249],2000.0
[3345.7486225],2700.0
[5228.62116221],2500.0
[3219.13939174],2800.0
[5482.3674431],2000.0
[2935.35262829],20900.0
[2926.51171922],997.0
[2869.57599027],1400.0
[2923.52373502],2000.0
[2870.39000974],845.0
[2935.16697443],956.0
[3834.74917334],2400.0
[2891.92587753],650.0
[4051.18516346],985.0
[2881.25742141],1600.0
[2924.80256593],782.0
[5459.80490528],1200.0
[2865.09010087],1300.0
[3688.80384887],2900.0
[4890.25866688],14900.0
[3292.69085485],2300.0
[2931.46793332],1600.0
[2885.91638224],2900.0
[2950.58396185],4600.0
[2898.6748371],8200.0
[2938.77951255],680.0
[3688.19006581],12300.0
[2897.00326438],503.99999999999955
[4989.98045057],1200.0
[2910.64655784],1800.0
[2924.03474786],1500.0
[2928.97334532],1300.0
[2947.50627427],576.0
[4124.14139837],1100.0
[3515.97604893],600.0
[2903.8285527],1700.0
[3280.37480849],1600.0
[3006.34242216],943.0
[4047.47316122],3100.0
[3839.33351567],1100.0
[2890.81711716],2200.0
[2949.28737441],857.0
[4686.24978417],1100.0
[3064.8737103],1300.0
[4133.23982653],2700.0
[4198.82764536],3400.0
[2910.15761811],1300.0
[4660.50763401],774.0
[2860.8164734],532.0
[2905.56240247],690.0
[4523.67969673],2800.0
[3267.4072213],828.0
[3870.28692883],891.0
[2908.47986558],1700.0
[5349.94488752],8100.0
[2941.30938533],1300.0
[2922.83327377],2400.0
[2915.48643792],1200.0
[2948.9624861],549.0
[3764.30948565],39300.0
[2931.41859757],4100.0
[2989.8301269],4100.0
[2892.4412344],612.0
[2850.5177569],397.0
[2901.77788085],1200.0
[2934.95409477],1900.0
[6120.36983218],8500.0
[5435.09655714],5600.0
[2892.35607622],1000.0
[2946.154422],1700.0
[3225.59355742],17100.0
[3231.80536276],2400.0
[2934.05069085],3500.0
[2939.35387189],1000.0
[2960.92911447],4900.0
[3710.8794739],1400.0
[2881.63515841],257.0
[2889.39949585],1400.0
[2868.24129019],3400.0
[3261.04333532],795.0
[4489.68446791],7800.0
[2934.22421069],1400.0
[3056.56038107],1100.0
[2975.79831626],2700.0
[2964.43182611],23100.0
[3719.737851],865.0
[2992.73931119],3800.0
[3155.28983727],5200.0
[2919.3253441],829.0
[2924.43462967],2500.0
[2933.83517746],668.0
[2950.58396185],1600.0
[2886.9726271],2600.0
[2883.38695862],1100.0
[5037.95463744],31500.0
[2919.13378006],506.99999999999955
[2965.49252253],451.0
[2935.31770688],1400.0
[3370.79712007],6600.0
[3209.77485594],1400.0
[3005.09069269],716.0
[4622.14980734],6100.0
[5329.12660324],8500.0
[3850.98253706],1600.0
[2994.23506391],2000.0
[3707.86290039],1200.0
[2885.27243663],827.0
[2882.49048025],5500.0
[3833.47406226],5300.0
[2938.68001221],1300.0
[4009.11543276],1100.0
[3346.24592309],2700.0
[2894.16885377],986.0
