Classified,Real
[2950.58396185],593.0000000000005
[2950.58396185],711.0
[2949.12461286],1500.0
[2947.2061505],855.0
[3177.79431109],556.0000000000005
[3466.7063664],891.0
[2882.11196431],3600.0
[2950.58396185],2200.0
[2947.81304437],1900.0
[2905.23525502],823.0
[2950.58396185],761.0
[2941.56144088],13599.999999999998
[2941.30362179],3100.0
[2945.15199156],5700.0
[2942.99889694],17100.0
[2914.63238701],2800.0
[2950.58396185],598.0
[2950.58396185],852.0
[2946.32359311],783.0
[2943.95999231],1500.0
[2950.58396185],425.0
[2950.58396185],3900.0
[2933.50672385],573.0
[3281.82578447],7700.0
[2950.58396185],2600.0
[2945.04710845],503.99999999999955
[2935.34733672],2100.0
[2929.53759506],1100.0
[2893.4408139],1500.0
[2950.58396185],574.9999999999995
[2938.96987134],1200.0
[2916.51207525],694.9999999999995
[2949.4634964],382.0
[2950.58396185],1100.0
[2950.58396185],1300.0
[2900.47862341],819.0
[2950.58396185],585.0
[2897.43073605],645.0
[2950.58396185],598.0
[2950.58396185],3200.0
[2908.62895056],1200.0
[2950.58396185],1200.0
[2950.58396185],2800.0
[2926.16670658],690.0
[2902.70361886],1300.0
[2950.58396185],631.0
[2878.933689],755.0
[2884.96067025],4600.0
[2899.27120876],1300.0
[2902.58519866],1200.0
[2944.2424828],1100.0
[2936.16981822],1700.0
[3543.84793991],1200.0
[3117.74755274],500.0
[2947.80821365],455.0
[2929.47899497],1100.0
[2940.66888484],459.0
[3280.67564239],694.9999999999995
[2934.3502682],341.0
[2879.74934341],1900.0
[2930.04706422],1200.0
[3421.910921],663.0
[2871.50778596],971.0
[2905.72385678],1400.0
[2888.73444584],1000.0
[2906.16295142],1900.0
[4256.69434469],1100.0
[2891.10510586],1500.0
[2885.60773782],705.0
[2950.58396185],1900.0
[2938.90028739],3800.0
[2937.57363345],2300.0
[2945.19319987],574.9999999999995
[2893.71120651],1800.0
[2907.16151981],1900.0
[2909.21633833],5600.0
[2950.58396185],9200.0
[4153.76959051],1700.0
[2909.75869709],752.0
[2906.35793678],1700.0
[2940.49698612],454.0
[3156.78319486],1600.0
[3905.48207592],2000.0
[2888.63621528],412.0
[2863.87955162],1100.0
[2930.30899682],417.0
[2950.58396185],474.0
[2908.65981151],2100.0
[5926.18344497],513.0000000000005
[3657.05493693],2200.0
[2871.84969208],373.0
[4189.80249012],1000.0
[2945.15118755],3200.0
[2980.65981603],657.0
[2950.58396185],2100.0
[2880.58107803],349.99999999999955
[4772.78943786],1900.0
[3269.08947301],1200.0
[2941.24902226],2800.0
[2950.58396185],648.0
[2927.33675203],1300.0
[3654.7868032],1000.0
[4253.20414604],1300.0
[2929.7822958],4600.0
[2886.9268205],2700.0
[3223.61007655],450.0
[2906.41338701],939.0
[2904.51211664],606.0
[2904.81698267],11500.0
[2903.2604842],761.0
[2907.39503923],4500.0
[2914.50434681],1200.0
[2887.83717943],426.99999999999955
[2934.3466729],1300.0
[2894.25542816],3200.0
[2908.00778737],377.0
[2898.83132647],3400.0
[2868.64448476],737.0
[4180.36570689],396.00000000000045
[2888.33283691],1700.0
[2929.53411626],1400.0
[3938.00149208],484.0
[2950.58396185],441.0
[2885.9752898],473.00000000000045
[3858.26753348],1300.0
[3622.57829774],1300.0
[2912.97481513],8100.0
[3088.84461305],3800.0
[2924.65929725],933.0
[2902.58913685],11400.0
[2901.02057412],762.0
[2948.39423552],1200.0
[2881.24722353],657.0
[3134.81619133],1200.0
[2934.84685244],794.0
[4201.9733178],1500.0
[2883.46501906],1300.0
[2950.58396185],1200.0
[2923.68912996],1900.0
[2877.20413786],1500.0
[2915.45123519],697.9999999999995
[2938.24476616],742.0
[3492.81621294],2000.0
[3367.39425991],1000.0
[2953.16167005],1200.0
[2947.04982709],751.0
[2957.80450398],774.9999999999995
[2950.58396185],3000.0
[2944.09869719],1500.0
[3394.72718256],835.0
[2914.42854634],2000.0
[2900.4942849],1000.0
[3621.94248676],1400.0
[2909.13593104],1400.0
[2921.52878595],1000.0
[2875.20789055],400.0
[2909.94948364],1700.0
[2936.28042485],924.0
[2922.97890767],1900.0
[2910.70403426],18000.0
[2933.56608142],18200.0
[3437.73125652],924.0
[2914.52734082],3500.0
[2944.31193057],1900.0
[2894.92913832],614.0
[3049.22914275],1600.0
[4023.06668581],1100.0
[2905.1027039],1100.0
[2927.55681315],2200.0
[2913.36149324],582.0
[3921.90804078],1000.0
[2882.98214646],720.0
[2926.75117141],19800.0
[2966.91598049],1500.0
[4199.69687231],3000.0
[3438.36466414],4400.0
[3171.71287536],1400.0
[2920.32659693],1600.0
[3602.9764884],2100.0
[2925.09502779],840.0
[3392.46761899],1100.0
[2915.91801128],1600.0
[2901.55279609],2100.0
[2880.22513103],2200.0
[2886.51169895],1000.0
[3061.06915813],657.9999999999995
[2939.76297294],1400.0
[2900.60439708],2300.0
