K,Norm
0,12.451422906783888
1,10.580493904268112
2,11.34203563383899
3,11.584173917891173
4,17.351658473202015
5,22.544581781365984
6,20.875831019888384
7,13.938930360680192
8,15.095435657221362
9,7.049127036107847
10,12.029464277157986
11,8.1843897830252
12,6.8876698614154055
13,7.219618489192413
14,6.9785437248420354
15,11.615942086415068
16,6.11714142385416
17,15.631819983097147
18,6.214935062184146
19,5.962870956097541
20,6.868806396949913
21,7.073524792917212
22,6.139763491932241
23,5.378341642531949
24,5.759439606767626
25,6.43139726732892
26,6.167042527058238
27,3.781937686505169
28,16.179472864634903
29,5.497311178221233
30,5.047646314836046
31,5.947262074596053
32,3.9568715007227326
33,8.589377082097322
34,4.860150330286811
35,5.324294560315801
36,5.939978843752834
37,2.621853034752603
38,4.271806071575607
39,4.671818829522171
40,4.6135638673162624
41,4.196611587927599
42,4.3395709441615
43,6.419907517197815
44,5.993866268794469
45,4.457989822643451
46,5.709230751878244
47,5.5613636132674555
48,4.800779720098732
49,5.661818474922549
50,5.800779625813149
51,5.1456272850649825
52,5.279146977886637
53,4.61170873634235
54,4.914875401635854
55,6.128716170889791
56,12.661125224026721
57,7.64754230852197
58,5.114372905065018
59,4.785778309697783
60,5.679294755720212
61,5.056969216941059
62,5.820705963667471
63,6.335008269504706
64,4.7143866280232665
65,5.06337291759507
66,8.87452271723509
67,5.2781655854335146
68,5.080195931747869
69,5.850346383392558
70,3.4448763239460245
71,6.234432931299345
72,5.502243829737803
73,6.001536956516274
74,6.038008784206898
75,6.809066875227174
76,6.288704310913913
77,5.538252275272943
78,3.467879035691454
79,7.840761564914016
80,5.4220273405491
81,3.9755680132020914
82,6.832927416360032
83,5.052848952127822
84,5.332284592786621
85,4.528512315535447
86,7.225847387227593
87,4.735621678294835
88,5.6116386246330965
89,6.172690743966005
90,6.63910030864928
91,6.223302391410585
92,4.214805328044585
93,4.599932981678212
94,4.0108133130414085
95,7.376266329812612
96,8.417481716082587
97,5.1638940233691635
98,3.927890868673588
99,6.66407532939549
100,3.35479558193372
101,5.802832375976251
102,6.372399338947916
103,5.538886745200178
104,2.889720362169141
105,4.790995729592494
106,5.846236891078932
107,6.670297678776465
108,4.751201770785851
109,6.775843068106474
110,5.8655574816830205
111,4.156018314936368
112,6.474514556800599
113,5.583370832562216
114,3.9458938844427394
115,5.56327430002847
116,7.053982018831091
117,7.115080672023572
118,4.377987913297768
119,3.452394260147997
120,3.9256762439841517
121,5.3259545034141285
122,6.971793126603793
123,4.334696674130788
124,5.000577188886853
125,5.231260388323364
126,5.112646528404347
127,6.424891345140555
128,4.697877028560884
129,4.110776072710605
130,5.160928101972043
131,5.122621467701732
132,4.3225302331711175
133,5.480379450101365
134,6.215806358222438
135,5.211527981381837
136,5.7254002436300695
137,3.682693931177698
138,3.407871865264244
139,4.902115664745599
140,3.967322635582317
141,4.443561889396216
142,4.5234951563595285
143,3.550676270863859
144,5.045365662558284
145,5.472596209398441
146,5.13367208851167
147,3.989401275204612
148,3.911628980171758
149,4.353937712806511
150,4.564693094468757
151,5.635895656622913
152,5.351603216354506
153,6.1956336817847095
154,3.9738899559964436
155,6.837855048397394
156,5.2484909230182915
157,4.7675279467039715
158,4.428685291058095
159,5.086144686817643
160,5.1251676441206575
161,3.608065399547951
162,4.995260912621442
163,6.3571886118430685
164,4.967674837076042
165,1.6204998291147412
166,4.89432074511788
167,5.218200150001681
168,5.595194589125249
169,5.614166494109235
170,6.081191748588444
171,6.049499435892562
172,2.655051541045291
173,6.034048476346499
174,5.403320193476489
175,6.609469358926657
176,4.180360869063476
177,5.979418576782908
178,4.6097206787463145
179,5.4860493159416865
180,3.972047296929264
181,5.546337036127254
182,4.045993656916065
183,4.370610023204043
184,4.885147057905719
185,4.338999569007411
186,3.8149970649984923
187,3.789881810866739
188,4.126108119310727
189,3.4981483178870296
190,4.320242774483076
191,4.31606620164732
192,5.418066270749025
193,2.5767093935757344
194,4.395415761740372
195,5.4375410734005625
196,7.875694112636788
197,5.183781485231926
