K,Error
0,2.2414453579086766
1,2.2004958617153054
2,2.160271428395918
3,2.1214314671485512
4,2.084069502318385
5,2.0483257046314387
6,2.0136020139650963
7,1.980315646039735
8,1.9478839944946849
9,1.916982804797177
10,1.8870791408187524
11,1.8583811269281558
12,1.8306908641031643
13,1.8040496072283094
14,1.7783048087933584
15,1.7537675420274992
16,1.7299544701391543
17,1.7070952362735092
18,1.6851275785450444
19,1.664140190391929
20,1.643854174241537
21,1.6243885061813357
22,1.6054615957040266
23,1.587243367765324
24,1.5695995117387065
25,1.5526464679587517
26,1.536403796335578
27,1.5205983665662905
28,1.5052996047030824
29,1.4906936388435919
30,1.4766192783491563
31,1.4629246268992115
32,1.449773150838054
33,1.4370303295022373
34,1.4247063963020288
35,1.4127015781410144
36,1.401121177253439
37,1.3897426624332447
38,1.378770768193268
39,1.3681153299815558
40,1.3576739996542269
41,1.34761511279904
42,1.337834083661899
43,1.3282962460058012
44,1.3188308116727925
45,1.3096588365582882
46,1.300688307790361
47,1.2918930842929301
48,1.2831898748010022
49,1.2745882453372894
50,1.2661888128439303
51,1.2578211976654858
52,1.2496081323319004
53,1.241472844250774
54,1.233480454998976
55,1.225623745218536
56,1.2178326566635043
57,1.2100473609576774
58,1.202401262453369
59,1.1947849157022963
60,1.187136552516271
61,1.1797041523366112
62,1.1722225612951507
63,1.164748478440248
64,1.1572952918877657
65,1.1498361209868888
66,1.1424239619088394
67,1.1351232296145244
68,1.1277928743559997
69,1.1205542430855635
70,1.1133513328394402
71,1.1061610913126105
72,1.098931383023138
73,1.091826069296092
74,1.0847303112652287
75,1.0776338533574412
76,1.0705038048898707
77,1.0634911044585196
78,1.056404626281191
79,1.0493157163755968
80,1.0422630140729314
81,1.035244606610743
82,1.02824885070562
83,1.021291222382424
84,1.0143610064767132
85,1.0074456668884804
86,1.0005371525256586
87,0.9937102538580052
88,0.9869448644618617
89,0.9802651880291556
90,0.9735478759451173
91,0.9669016187583555
92,0.96028375483295
93,0.9536762134589674
94,0.9471072440845376
95,0.9405365948791719
96,0.9339744188497588
97,0.9274237576266777
98,0.9210000251200636
99,0.9145570037839601
100,0.9081993110366525
101,0.9018764800070601
102,0.8956095693237393
103,0.8893028201636485
104,0.8830476928643418
105,0.8768724366216271
106,0.870760314856894
107,0.8646528071381412
108,0.8586285059311459
109,0.8525918539019407
110,0.8466199886945114
111,0.8406565859255611
112,0.834809677653396
113,0.8290092500250347
114,0.8232958311560294
115,0.8176853856201699
116,0.8120742911976246
117,0.8065749468809439
118,0.8010370507722544
119,0.7956304463596069
120,0.7902620605364892
121,0.784977228892563
122,0.7797929406508192
123,0.7746047602464204
124,0.7695241037480408
125,0.7644736426095278
