K,Norm
0,18397.984840394907
1,18766.63103597141
2,18323.66646837577
3,17687.948980037756
4,16892.702342596498
5,16755.7312504889
6,16104.118643196976
7,15991.630758933741
8,15217.554845604262
9,14761.883536235991
10,14376.886321950924
11,13960.212544935814
12,13580.659873563038
13,13404.856421048233
14,12687.833343981769
15,12619.99824854425
16,12037.384894119776
17,11808.378922298903
18,11285.55875100386
19,11039.337611606294
20,10599.561703344401
21,10524.232136855873
22,10112.409389083297
23,9994.890117247036
24,9627.259958327671
25,9212.679717820904
26,9221.47284168941
27,8978.251378929173
28,8454.591959023395
29,8207.584136592985
30,8105.100422570526
31,7796.2687708961275
32,7543.368636785527
33,7318.014291634557
34,7207.026950834802
35,6944.37185415261
36,6885.934969626229
37,6675.647128405945
38,6485.9418998535
39,6474.12685868477
40,6181.201784904637
41,5832.438905206026
42,5710.264086364156
43,5837.360782796609
44,5511.708064322479
45,5420.076957752287
46,5246.020102009013
47,5209.336304196441
48,5136.183245998218
49,5024.338545602054
50,5030.765363228581
51,4791.744000360374
52,4858.3668495613465
53,4646.208920460595
54,4566.76687166755
55,4491.4766315215875
56,4539.754412194044
57,4301.192409163305
58,4318.365704525114
59,4401.741826490566
60,4166.7171103398205
61,4225.287327795561
62,4147.726723671001
63,4117.763623370283
64,4204.756734270126
65,4078.760548620658
66,3992.2397465055406
67,3993.089045852042
68,3892.387036539428
69,3848.3122667824373
70,3884.410474665283
71,3949.16940069311
72,3781.8138680157153
73,3821.011977709405
74,3796.61359448543
75,3921.572822824744
76,3762.6257002640205
77,3813.269689794724
78,3823.474527867692
79,3806.2148216397277
80,3770.7991277679284
81,3768.390550519151
82,3729.2234031375806
83,3769.1684352465763
84,3733.23817625793
85,3749.337783340743
86,3700.1273977730257
87,3629.395736600851
88,3583.4747576926006
89,3650.240387181448
90,3607.015006409594
91,3603.9929781800233
92,3602.918288166278
93,3614.7205524006195
94,3590.7296188262108
95,3624.0085656161555
96,3619.481366842583
97,3515.9628385384794
98,3608.7656518264866
99,3511.573989813871
100,3486.2389175010912
101,3490.594068457087
102,3598.0131406437026
103,3520.518477736061
104,3475.9935517178938
105,3434.223615342882
106,3477.7360229037836
107,3427.8350830208224
108,3448.2993694898837
109,3429.9732297778905
110,3446.8440878829515
111,3380.9428173174883
112,3370.4325187575428
113,3314.8158573491205
114,3246.8789432972826
115,3328.1235274410833
116,3200.160444186757
117,3270.685727305434
118,3196.6302263383077
119,3217.4222195230154
120,3180.520948335391
121,3179.934820770206
122,3142.2447458095457
123,3112.6552136225378
124,3131.7898516724126
125,3039.7110572708807
126,2980.7304034375434
127,2960.58744852602
128,2950.212670036323
129,2896.3869665877155
130,2972.4288720683744
131,2845.481657414156
132,2837.6913097771067
133,2773.9867299037624
134,2806.302060400265
135,2775.6409229089936
136,2670.813657000208
137,2715.3571860057687
138,2633.2847778359287
139,2634.099434413296
140,2614.8911460663985
141,2605.0954763425166
142,2591.793969857533
143,2555.725555038561
144,2586.5033224699027
145,2482.647805918068
146,2495.469938097885
147,2452.390620031394
148,2402.1022886557707
149,2391.76273270855
150,2396.8944120409956
151,2343.1381655057635
152,2303.4810998477487
153,2329.1186914084706
154,2294.9349043263205
155,2289.911870714676
156,2303.3243063920227
157,2231.0660450498926
158,2265.123079042731
159,2235.3320104888194
160,2142.0273182181854
161,2190.7835476580753
162,2134.3777872228934
163,2089.9618473388327
164,2146.330680018218
165,2076.803283089452
166,2037.2717399144994
167,2021.9594539743837
168,2117.3470013762
169,2024.4632326740984
170,2007.3695403913484
171,1961.2455977761415
172,1930.5665943404883
173,1894.0522177902892
174,1922.895623970847
175,1857.7227159842878
176,1860.520158906013
177,1970.1126213595353
178,1888.303164904093
179,1878.1086997751775
180,1778.7887986559367
181,1793.9061548266657
182,1790.7594564090384
183,1781.6261368395114
184,1758.4270516582578
185,1769.768065172892
186,1888.2450625326233
187,1747.3671006951383
188,1740.488565595835
189,1703.9058922369038
190,1665.2789343860934
191,1674.3622227243368
192,1668.2007742455992
193,1652.4060166151255
194,1644.724078923386
195,1598.619813016746
196,1589.1269905805
197,1612.9165649707106
198,1632.3057990562959
199,1631.0710646726816
200,1668.5574246367532
201,1717.1047775179231
202,1670.4602864643666
203,1560.1752305078264
204,1584.8248843577794
205,1573.9017460205146
206,1622.514307662254
207,1597.5268169378144
208,1582.945886381831
209,1610.131203919213
210,1538.219506623888
211,1618.1885363512506
212,1537.1060394716137
213,1571.756934937123
214,1641.7793274755081
215,1574.5842424294954
216,1531.994967164352
217,1551.7529738724568
218,1532.7780450886276
219,1578.4450862221786
220,1579.1308948867345
221,1553.0067116256896
222,1523.923523259291
223,1534.651400710598
224,1490.1909758326697
225,1498.3254708764562
226,1507.8703005613338
227,1522.4646751856933
228,1518.642816804515
229,1572.95128292753
230,1538.185743250647
231,1486.0729209609951
232,1483.2561309313865
233,1492.091625851618
234,1501.423326653391
235,1574.4352671650643
236,1444.200871540878
237,1501.4885472761462
238,1564.9950059508583
239,1511.8248527317387
240,1471.0419196583487
241,1543.4345649363072
242,1553.6442684028875
243,1414.8679123211077
244,1447.9933133421234
245,1504.0300357717435
246,1481.8680355366785
247,1371.8066954855374
248,1444.4329625738606
249,1359.8844245219043
250,1451.9346624450163
251,1453.4444094108053
252,1407.7549133849488
253,1419.3771917477911
254,1407.248717274185
255,1368.1786436304278
256,1379.3990648177619
257,1428.661639359439
258,1355.8200489541052
259,1484.9916116492025
260,1400.9725454429745
261,1356.5244973426989
262,1399.8935756941016
263,1369.80385935158
264,1379.5707504109478
265,1397.0734882916593
266,1322.7249920091701
267,1341.922871127594
268,1368.4454883912058
269,1400.4120315085192
270,1390.3218457737394
271,1284.9429392946536
272,1289.2481641645354
273,1338.2519536773675
274,1298.957816108215
275,1366.002146789545
276,1247.1615113628623
277,1383.0592281027925
278,1313.2806869199626
279,1290.1536844064815
280,1280.2677103488393
281,1487.8367472770112
282,1217.8833905463794
283,1304.7242471144314
284,1280.211308463416
285,1367.9077722182215
286,1233.9184292382433
287,1256.6335928268713
288,1270.9429805272673
289,1227.5604073416473
290,1258.5931614084448
291,1202.8773727906384
292,1255.0758797441897
293,1221.017744592567
294,1240.375183606278
295,1208.2002981009557
296,1193.4226422688255
297,1170.3782192900057
298,1191.618137010877
299,1207.5487889896613
300,1198.5705598312043
301,1138.3861041462055
302,1210.6393373206467
303,1163.6200480531415
304,1188.3014114058574
305,1265.8433784315612
306,1177.886865788357
307,1193.6285906935213
308,1232.8354259385135
309,1144.664489296054
310,1233.4696449422727
311,1130.143619331491
312,1153.8989723136583
313,1146.7321240568904
314,1075.6063541335907
315,1124.7662304827186
316,1067.8909564454048
317,1112.900680483034
318,1089.8578966175244
319,1076.6805845587958
320,1052.2695122319587
321,1094.102150879694
322,1069.3579498578522
323,1114.861004976418
324,1035.5241773798416
325,1106.7042217204041
326,1056.4258786722107
327,1095.8975372754314
328,1135.3586569148893
329,992.0795303931709
330,1060.0178745740761
331,1064.330778376438
332,1067.774080223901
333,1044.5485569849657
334,1028.9375871900404
335,1011.1969317436761
336,970.9974186370056
337,998.9592342568446
338,1023.3008608334984
339,1126.519170588605
340,1036.6822444631914
341,1001.7095081575126
342,1035.77044216856
343,1033.2161493007288
344,1097.726457058419
345,987.4783668060645
346,1209.345783340473
347,1057.3469629834926
348,1033.7716244704336
349,953.9389568375369
350,968.9538681362206
351,1038.9148194649274
352,957.9618599363557
353,1233.0230413475017
354,938.6250336210824
355,962.3446582646915
356,952.3212016112824
357,966.1355779972505
358,992.5584704947537
359,942.3409304811855
360,976.0832479164711
361,945.1854711738481
362,881.5166325563628
363,1028.426829466801
364,914.1186184549399
365,871.6355920426054
366,943.3031705009563
367,1045.3641267852506
368,928.8166838243544
369,901.8096331612845
370,1039.9562123352634
371,965.1563430654514
372,888.4059787269756
373,925.6157586861032
374,971.7563868843148
375,912.0287829186457
376,950.5329576571215
377,906.498114394778
378,881.4143187459491
379,952.2888249419373
380,967.4809697196146
381,884.8790365038138
382,958.045260372373
383,899.5524336681831
384,894.5037970934044
385,885.7134558531368
386,973.4873973663613
387,821.8652974171795
388,914.6807228501576
389,855.3070561897107
390,877.959676908344
391,916.4662655959262
392,854.4259460220278
393,880.3793271379113
394,894.2448866161756
395,883.8771342406002
396,924.8341563772182
397,955.8571559113639
398,833.3687036242632
399,883.4241859106783
400,946.9308324594658
401,957.9859425819021
402,856.0890830944276
403,842.8835263870442
404,859.3946971536724
405,798.204065586108
406,858.4965014160069
407,878.2897610515245
408,889.8887717523602
409,861.7373164700009
410,827.0904178509079
411,901.3938224965982
412,909.9965572493447
413,860.9047774640222
414,797.4171969976082
415,1019.5453713466637
416,930.7585920150727
417,1068.2390362189599
418,909.3946372142879
419,1005.7200908113821
420,842.6064315907538
421,804.85742534946
422,880.7028412231449
423,918.4047861805889
424,852.9843720473817
425,875.7658396414242
426,862.8728490470764
427,855.9933345060541
428,845.9451895742769
429,819.839660131951
430,869.4042123788233
431,801.743630064456
432,768.0142254885287
433,792.1722424671117
434,815.1469242018907
435,810.8071490063382
436,853.5116850000729
437,867.2974553070271
438,847.4818641325634
439,906.9594679225705
440,825.3126771040168
441,782.848569392582
442,882.4039148483023
443,829.9712710809188
444,960.4445721379583
445,858.8464958178911
446,890.1599987627526
447,899.1840163069369
448,902.5628955251948
449,816.0349824989503
450,874.8557119820579
451,792.2990047078174
452,820.8059491090147
453,853.2219990805536
454,765.6425403770139
455,827.7264702710664
456,852.2956197765772
457,1000.0877027036815
458,800.7253173949684
459,837.383781642907
460,941.9824006893529
461,835.8987570538415
462,862.7889107662943
463,749.6489968731349
464,793.4446919486995
465,824.6870216362476
466,784.0689310210581
467,788.6174957984585
468,744.0355391790362
469,923.9119536079033
470,941.1161430661737
471,822.8193762367962
472,939.3854925419741
473,818.6062718755285
474,746.3009800574176
475,775.3865926654161
476,812.4130275631927
477,960.6385708128757
478,816.9650400863832
479,821.7178435046532
480,870.7227238341377
481,849.8817957997069
482,820.4580058320631
483,793.357738197673
484,813.7096725048373
485,746.1898907572157
486,796.139750907974
487,767.6648419277343
488,812.6422287711262
489,951.0819635968929
490,814.7467843823857
491,863.8939914290954
492,1020.3655576771126
493,749.3673681215314
494,713.15268831946
495,757.448438770753
496,747.9164856922262
497,786.6465055382935
498,724.2297237870174
499,765.8544118576278
500,934.5048446251936
501,909.6991668851723
502,698.1537335710952
503,873.7277577890778
504,751.7343718749319
505,736.4245053449704
506,691.9044288277859
507,757.0628494569927
508,797.1842063299116
509,708.0070492145119
510,845.112682117933
511,838.7619103358595
512,712.5887751929204
513,762.4644232299509
514,752.851796581329
515,761.2667291303685
516,729.863970465075
517,850.3656043422268
518,773.7995031925848
519,870.0257059424733
520,763.9441593298419
521,907.3141120046564
522,738.3506021075567
523,756.4869931396981
524,720.3435734131333
525,844.7942995256946
526,796.6209449053986
527,748.5838030749147
528,780.9619949620555
529,721.20615442075
530,992.1344296620232
531,901.7147221558005
532,736.149957046025
533,774.0564087202736
534,773.1802111329688
535,768.6140639010673
536,702.0873992282752
537,724.676830749624
538,737.5737812674303
539,688.3918070747075
540,814.7188715619666
541,834.7047937134441
542,757.6523363013576
543,743.1776352550585
544,841.5634042093527
545,887.1598096514196
546,1147.882020371615
547,685.2994197132047
548,785.2792607538697
549,711.9949430009422
550,860.1631852401479
551,932.6625262657113
552,778.8204368350127
553,684.4386841450915
554,873.3382019752152
555,812.7604216987011
556,746.3060815999711
557,936.1629402616028
558,827.1654684253209
559,768.5971813924517
560,769.7507454493473
561,884.5645557773807
562,754.9201157201181
563,756.9125398583855
564,769.9951062339742
565,742.4855352183855
566,677.0736209527577
567,791.0641301205869
568,629.5427246950285
569,648.8777286170249
570,648.5052037389333
571,752.412770319016
572,715.276903204905
573,730.3361672192266
574,711.6246985239407
575,742.0996026292352
576,939.2057689383372
577,815.3314769120486
578,645.8524884656493
579,658.6925860144603
580,849.001387692342
581,652.4271124238966
582,705.1116551400582
583,741.6577648447131
584,682.0137598170866
585,767.0108871741161
586,685.9533005250083
587,744.6469578550277
588,698.7486239840075
589,659.3323850146326
590,671.697132593701
591,705.5971020119418
592,660.3713215618767
593,658.7698234243743
594,597.0175973774492
595,759.2465730518124
596,636.7370152806806
597,683.8996727330074
598,652.9028543766203
599,753.2023865042762
600,613.8487853388193
601,651.9586269676712
602,652.3584339475543
603,712.5241082203154
604,727.1693277454947
605,680.6727544369661
606,698.08373818531
607,812.8053314167099
608,757.3364694134116
609,682.313165289425
610,714.8213608587993
611,703.2773205822944
612,680.0090087709139
613,625.4301045229447
614,681.4625323016809
615,874.9864915875409
616,645.1541970169864
617,695.7023840864963
618,760.7198728638792
619,646.5350115435343
620,729.8294164416852
621,712.5690172100046
622,641.7736641579188
623,759.2129296175963
624,713.9728869957755
625,692.7855720888031
626,678.0900479585694
627,631.1774222577596
628,622.080324375888
629,611.4400830999045
630,789.0476760901081
631,704.1235559331263
632,1115.144869899134
633,753.1792632190414
634,585.1314357665982
635,697.3733706834596
636,740.7670076428449
637,559.7778444839246
638,816.5567026894925
639,734.9615146984414
640,631.4865234207667
641,817.0579345328026
642,723.377782893029
643,704.2093161780865
644,636.6194988847845
645,609.9144201958696
646,618.0440248947102
647,748.6604722942528
648,720.2765129975088
649,687.1186659990445
650,710.2621325568963
651,708.6039732868087
652,629.3610391574612
653,604.9571635960416
654,685.8407366200507
655,742.2450276743499
656,703.702788768811
657,670.0775038821155
658,724.2135240128891
659,626.9072412541536
660,645.3662222190882
661,635.1445699615608
662,660.0059678367699
663,683.0396053424361
664,635.9939975594237
665,968.0473911260211
666,585.6728205727892
667,569.2772101882414
668,766.2448662764183
669,707.0191343680683
670,659.2675481004852
671,643.4023119490793
672,589.1244359930278
673,721.8881268766506
674,772.7965370879635
675,688.0784216662622
676,799.8861545563515
677,765.9423439671383
678,910.1600793544834
679,768.2247707419237
680,776.4067533608285
681,626.9470621806623
682,713.8041062884827
683,746.778221849359
684,921.3167464153546
685,802.0354822653046
686,616.1160833217384
687,590.8986691637838
688,689.9392234703412
689,612.3251772668698
690,682.129279394474
691,687.1143940725842
692,560.0363791617946
693,651.3645314240072
694,662.9189436724996
695,833.1197179657368
696,608.4787066837451
697,737.6987693525268
698,664.1840569641187
699,647.6504759546732
700,749.9779692982651
701,649.0662439439922
702,613.5249617595113
703,632.541700548866
704,712.9319722685976
705,667.8953086643071
706,682.0226873315567
707,732.1781432144863
708,699.0257031718918
709,796.7321858260735
710,553.4553468486188
711,621.2721908419944
712,565.856853819976
713,787.655227926266
714,558.4181706214285
715,778.0953095153234
716,668.1664890932059
717,624.4937692428019
718,579.7776564929769
719,514.9955180604677
720,637.0624055540595
721,581.74919205034
722,685.4295386107125
723,783.9086148702206
724,550.512887799503
725,775.0215315552501
726,576.8388264591657
727,600.22138187933
728,659.2802754329977
729,684.2603861542726
730,567.9444542030916
731,609.9042613298179
732,765.8323904994215
733,667.878881987035
734,537.2877544833001
735,614.0057880397271
736,917.709616803448
737,589.0403847629494
738,647.0414582063438
739,809.6934948459468
740,502.9209946902764
741,920.8586474042809
742,1021.6541153251023
743,843.0734206714292
744,584.1258264210157
745,792.5311505086169
746,635.4903115540319
747,698.7567818339172
748,789.0219798289594
749,580.3716479123254
750,733.9681004579365
751,799.5778988992116
752,549.3502007248551
753,631.9719940306287
754,631.68140442438
755,714.8509909319788
756,698.2537563574369
757,596.64061703702
758,546.9466604780193
759,734.7756090582277
760,758.9059662702196
761,632.2188522974056
762,847.0287341306795
763,509.833050743017
764,640.5588733114876
765,552.8820865285765
766,597.0962127363565
767,731.2701427078223
768,700.7826348405674
769,649.574711758773
770,642.380551254698
771,857.8641775797959
772,645.4272289984876
773,579.0534283159154
774,545.914330493237
775,743.7450275736818
776,651.4793065401606
777,654.8447505226718
778,623.1238368847646
779,576.4938688808365
780,557.8622389442328
781,510.3368360025301
782,552.9822919791627
783,534.420804750497
784,613.29162380915
785,616.4629513073489
786,672.4125508689847
787,575.9201571396394
788,590.7804165056311
789,828.1945914547156
790,541.893454172333
791,570.4283868565914
792,651.2747080348109
793,646.4497629246928
794,590.8254006250464
795,607.4768036893186
796,586.4507820033378
797,653.2403902047
798,874.2833446276172
799,699.5456627732483
800,647.1983814123528
801,618.6476181443994
802,660.4203056484909
803,551.4384641884112
804,655.4941917135628
805,632.9280796769742
806,678.4336869329094
807,577.871649488578
808,684.9421305282436
809,628.9429346632231
810,587.2591763595947
811,698.8478187755002
812,710.0740982436331
813,672.2221291280614
814,545.7140000418261
815,582.0129898145568
816,637.7580044553838
817,669.8713271750198
818,609.8055941821557
819,669.8533718801868
820,523.4820020497577
821,698.418998852304
822,670.6968081926723
823,548.4262966208206
824,651.815190168904
825,565.2655248016755
826,656.726176457192
827,598.5902354842896
828,699.2758094693355
829,604.1793694155092
830,553.2421725495408
831,500.4444722074512
832,679.2543665295826
833,630.864172049472
834,543.1328260263626
835,538.110660706709
836,730.1037810170772
837,532.2282121663477
838,463.3177238704512
839,671.6240984738345
840,602.1542732033843
841,646.5941455947819
842,577.685387786576
843,515.9214346514761
844,580.0462539510896
845,609.5871268529589
846,675.7948720583155
847,881.19966108122
848,759.7288681291999
849,759.5969352354466
850,509.59283051972494
851,770.6810785211586
852,767.6317842387397
853,582.7015075277483
854,512.6836284315286
855,839.2051475310097
856,497.3376049347996
857,643.0725338905261
858,535.5067707822983
859,734.0156383561277
860,677.8365729022196
861,540.3968863968975
862,793.3370701965388
863,768.3447118024179
864,623.5025484142369
865,790.747039446497
866,647.8787628658193
867,622.0155973784418
868,508.10356053117226
869,553.1810676875028
870,743.7639489760161
871,801.6082866256546
872,615.2203365571061
873,848.9331617395299
874,761.2484249254017
875,598.2582704404032
876,675.0881720191849
877,694.9640065899333
878,581.5994671308183
879,684.1369868411823
880,798.2678760292529
881,602.2449695100444
882,727.7836374171495
883,638.027698724388
884,510.9939776435238
885,806.8509768343954
886,721.5807493342588
