K,Error
0,378.98491354860573
1,377.26984441158237
2,375.49738068193057
3,373.9628728182521
4,372.5049644512057
5,370.860119288578
6,369.3631703696886
7,367.9224899577694
8,366.5083870501155
9,364.9800124120111
10,363.64209039493306
11,362.2980530055056
12,360.88750032514946
13,359.49759792440193
14,358.118563207526
15,356.96588348057276
16,355.6361827854592
17,354.5403654980558
18,353.23503156455234
19,351.93358343703414
20,350.55766109954163
21,349.18210928266336
22,347.7774285053583
23,346.33760537553457
24,345.0823049230894
25,343.755340157976
26,342.3303775226293
27,340.86702135233213
28,339.48808120356426
29,337.98990364633215
30,336.97127667629866
31,335.7661266847586
32,334.4554892034233
33,332.9757693456144
34,331.440907723407
35,329.9050149974293
36,328.4286532486401
37,327.07596031482217
38,325.6347126969711
39,324.13733967481284
40,322.6888168590477
41,321.0599533991315
42,319.3602247296084
43,317.7831337230831
44,316.12417225678814
45,314.24281194567976
46,312.5274632415942
47,310.48396845283133
48,308.72212943747314
49,306.84650515561214
50,304.8817778207679
51,302.97308175594884
52,301.1143015666784
53,298.94859015419206
54,296.85736729642235
55,294.6061576271712
56,292.4480999273764
57,290.3307550054022
58,287.9605647603685
59,285.60134214648843
60,283.7098286104602
61,281.5226261771232
62,279.39833033582454
63,277.14839422459863
64,274.9237479003216
65,272.6178359866599
66,270.27233071221514
67,268.12437487643734
68,265.82031636831897
69,263.6137535612119
70,261.37548063718816
71,258.9446077602967
72,256.5058985299941
73,254.04504998035264
74,251.57590543189693
75,248.9922272771691
76,246.28197132314568
77,243.4134232069066
78,240.5356629864434
79,237.92899112273383
80,235.10665253447598
81,232.31994761547045
82,229.5088428447464
83,226.67637454929897
84,223.83918011279047
85,220.8370183988905
86,218.0270338687899
87,214.83753909048826
88,211.66825758419077
89,208.4772055553181
90,206.0723906990004
91,203.25983874667344
92,200.54931719630258
93,197.78628792638492
94,194.90953570428746
95,192.00423763243518
96,189.2257279442235
97,186.41990346644488
98,183.56220283098574
99,180.95409681895438
100,178.08417980573626
101,175.28412608038897
102,172.43323201717158
103,169.46843696020645
104,166.6114178034549
105,163.7647195770762
106,160.8267847504809
107,157.94796150995757
108,155.00257723007977
109,152.02978552278972
110,149.07351113035335
