Classified,Real
[[84.62753953]],85.0
[[31.76267006]],31.0
[[42.52011024]],41.0
[[70.31722795]],74.0
[[55.80511066]],53.0
[[78.61177965]],81.0
[[75.41696295]],78.0
[[77.38565123]],79.0
[[47.32357229]],49.0
[[83.06675867]],81.0
[[52.12396483]],52.0
[[60.42796191]],61.0
[[30.2129485]],29.0
[[88.34690666]],89.0
[[96.22527051]],94.0
[[25.98326101]],28.0
[[34.72145632]],34.0
[[49.18570913]],46.0
[[43.2652649]],44.0
[[55.85596557]],57.0
[[38.43961889]],38.0
[[55.95249953]],56.0
[[45.92499935]],44.0
[[44.60136983]],44.0
[[67.53222324]],66.0
[[60.04493822]],57.0
[[58.61113438]],59.0
[[62.54254385]],61.0
[[25.98326101]],15.0
[[37.89706118]],38.0
[[47.93102089]],47.0
[[75.39358657]],73.0
[[34.18286991]],36.0
[[62.70793999]],62.0
[[64.19708436]],64.0
[[33.15120421]],34.0
[[25.98326101]],22.0
[[55.41232507]],59.0
[[39.93691124]],42.0
[[56.86167383]],59.0
[[68.75386603]],70.0
[[29.11767557]],28.0
[[29.75983675]],30.0
[[65.07728493]],66.0
[[83.46072294]],84.0
[[80.82807141]],78.0
[[66.83094046]],66.0
[[84.87970773]],81.0
[[60.72988543]],62.0
[[25.98326101]],20.0
[[25.98326101]],16.0
[[82.13410301]],85.0
[[59.6951502]],60.0
[[25.98326101]],17.0
[[36.03294069]],35.0
[[59.35628904]],62.0
[[31.46243956]],32.0
[[29.12861615]],31.0
[[62.68186383]],60.0
[[48.16498401]],47.0
[[83.63289056]],81.0
[[31.23077604]],32.0
[[34.52330538]],34.0
[[69.96476605]],71.0
[[39.48948968]],40.0
[[26.09034533]],23.999999999999996
[[50.82798577]],54.0
[[38.41184972]],40.0
[[72.25588252]],70.0
[[81.89994208]],83.0
[[32.25299636]],34.0
[[25.98326101]],19.0
[[46.91836465]],47.0
[[43.93769722]],44.0
[[43.67956192]],43.0
[[56.88625478]],57.0
[[43.56820891]],45.0
[[76.75454935]],78.0
[[44.77769282]],47.0
[[66.52364327]],66.0
[[59.83167758]],59.0
[[93.72766489]],91.0
[[48.06715265]],46.0
[[68.47691907]],66.0
[[26.78506605]],25.000000000000004
[[57.99642585]],57.0
[[55.69226244]],51.0
[[58.82847129]],56.0
[[69.04315595]],66.0
[[61.18268066]],64.0
[[82.41512623]],82.0
[[56.7569736]],56.0
[[46.52856948]],47.0
[[56.84783566]],53.0
[[62.92139843]],56.0
[[46.69553992]],46.0
[[71.98153036]],75.0
[[49.3359697]],48.0
[[62.40601647]],62.0
[[34.42130492]],36.0
[[38.19032239]],39.0
[[45.52148472]],47.0
[[63.45321336]],64.0
[[37.77118375]],37.0
[[63.85414692]],66.0
[[79.66555021]],78.0
[[61.02873943]],62.0
[[64.33341393]],65.0
[[69.35751526]],67.0
[[53.50732311]],54.0
[[71.89047049]],71.0
[[70.16438632]],71.0
[[25.98326101]],12.0
[[62.51768599]],59.0
[[56.44548599]],54.0
[[67.57182104]],68.0
[[75.00238903]],75.0
[[63.54277803]],61.0
[[71.53946417]],69.0
