Classified,Real
79.00125587809526,82.0
67.15938323558571,69.0
72.67953477904976,70.0
57.00401167218334,55.0
79.27461757839878,79.0
81.56199873658056,82.0
92.62403975365774,89.0
50.27493703015225,50.0
63.512037903362256,63.0
42.951229565839554,42.0
66.35204389054043,66.0
27.784137465712764,31.0
24.938922326515556,25.999999999999996
66.23273638782408,66.0
59.072889789352,60.0
58.39472104386045,59.0
53.50578219828341,55.0
42.212806617989465,41.0
34.66308449229807,33.0
38.715622825209536,39.0
70.05932461667346,65.0
44.72197929390987,41.0
68.55824710433035,67.0
26.388480079338724,25.999999999999996
58.536775960404135,58.0
17.454305708169407,18.0
63.376663740050745,65.0
22.215904441651624,25.999999999999996
17.424114372276044,17.0
32.968817434628136,34.0
49.30836228872558,52.0
23.25745628013138,23.0
44.41975789904897,45.0
27.563637622392104,28.0
18.933420630381548,21.0
38.63209677168878,38.0
51.43089194246014,49.0
82.35748973476571,83.0
72.63563946056112,72.0
58.25532425459438,58.0
63.661217136542746,62.0
61.399119365143285,61.0
91.72918484420038,91.0
27.68814604471218,25.999999999999996
34.06958436849763,36.0
71.558200932046,70.0
79.69859549056059,80.0
48.841522614856494,46.0
69.20037027383225,71.0
76.26653366342845,79.0
63.17032457674622,67.0
67.84430060433728,68.0
65.80867553737752,67.0
55.06065201714068,54.0
42.772719785778904,37.0
47.016558143209146,47.0
27.379254065731825,30.0
92.16466006865241,90.0
54.365487173151784,52.0
62.18382812092957,60.0
87.44053059700714,88.0
79.43709667232807,78.0
44.21034194786409,44.0
72.00897602877629,69.0
47.513819780913394,49.0
69.66394235214055,72.0
47.42355820938548,49.0
78.0377388750314,82.0
33.67931807309683,32.0
37.03186972782073,33.0
29.54958020814976,25.0
32.87719396467855,30.0
73.49764853683222,76.0
65.34719125109103,65.0
71.8084266590649,73.0
49.43382975261485,45.0
32.41738450542388,32.0
32.53039921065095,32.0
93.19278130606278,95.0
42.10458445377854,41.0
82.73491530151927,84.0
67.15507122768234,66.0
28.63502484383549,28.0
27.379254065731825,25.0
23.127689270663915,25.0
57.53173817414806,57.0
44.32808838655194,44.0
53.95502689900481,52.0
48.537917784887014,48.0
74.72756218826456,72.0
95.13235621009794,95.0
18.898315759174118,21.0
60.57649685410675,57.0
65.09549102499679,63.0
26.55330724007341,23.0
37.64039027314093,34.0
54.96181763330656,54.0
69.95221148122685,68.0
15.455311091068054,14.0
65.69064027500174,65.0
80.5023333904384,82.0
61.10796264578956,59.0
63.67432373705402,62.0
68.42431268813473,68.0
64.52583488459844,60.0
66.2295677973363,65.0
21.585321209522142,18.0
49.16738154240883,50.0
29.22272342314463,32.0
54.387142435639944,56.0
36.018045876697656,36.0
36.605312017419905,36.0
73.57044080539029,74.0
70.1671261431604,69.0
76.63550778125122,79.0
28.57309352246418,28.0
35.066809525359375,35.0
49.73074298923673,49.0
63.64247656065261,63.0
81.74816756357964,81.0
76.6114280325773,78.0
73.94553363079201,77.0
61.30835777485707,59.0
53.832599376336105,54.0
65.03608164416008,72.0
62.087469392021106,62.0
45.542901119612466,44.0
77.26041514478993,75.0
71.58908071493022,72.0
96.6740834647091,97.0
48.11966889842639,50.0
72.19139130399583,73.0
23.25745628013138,23.0
61.520796832987536,59.0
66.06519917909007,70.0
78.15630276768995,80.0
75.13011339578415,80.0
68.27191878747061,68.0
34.62433578648337,30.0
65.5563911309483,68.0
24.546875746235422,22.0
55.0214911492316,54.0
68.21797352483021,67.0
39.270546201922286,38.0
66.20771795035992,65.0
62.89947801820139,63.0
87.12833999233894,87.0
70.72558152521214,72.0
47.968022033456066,47.0
