Classified,Real
[3773.67001652],162500
[3988.95482281],187500
[2170.99339819],186400
[1802.77254195],163500
[4311.62386939],222800
[1621.07815795],71500
[3888.59948091],360900
[1478.31136468],99100
[1886.75584249],109700
[1613.45626121],135700
[5809.09490544],212700
[1763.05808436],96100
[3894.10266984],129200
[4815.18788124],394000
[4115.53645401],500001
[1448.30620883],74100
[1691.82658342],78800
[1623.1294012],400000
[1825.59187908],105800
[1705.96448652],64600
[1817.40022945],186800
[4258.25826852],114100
[1980.1448151],289400
[3997.98449155],420500
[2043.88109023],229400
[1722.68831744],72000
[4142.33350944],149300
[1694.43570108],313400
[1801.18971381],83300
[1452.78484027],90300
[4283.0927455],232600
[1615.48764821],48100
[3750.73677917],293900
[1590.04282578],71800
[2210.35499157],52500
[1677.1821551],52800
[1609.47405891],62200
[1725.41884732],147300
[3869.67919244],112500
[1482.07443302],168800
[3884.04394912],177500
[1641.77429138],87500
[3778.7675775],229200
[1776.57673505],500001
[4030.6646628],128300
[3990.25298667],137500
[2189.83816033],138700
[1663.90692304],217400
[3753.21478705],166700
[1610.95315136],143100
[3916.29071402],265600
[4280.27079214],169600
[3750.08384503],169400
[3947.3997693],166200
[1849.04934757],301300
[1740.90323508],157700
[1943.71754194],319900
[1781.83190193],59700
[3977.11135639],500001
[2082.27656838],64100
[1709.61892582],225000
[1738.04826537],164100
[2016.22624523],182100
[4440.71437502],411300
[3734.84824269],47500
[1572.05952001],340400
[1692.27975426],66300
[1968.50755533],104200
[1678.27423122],96000
[1897.59555596],322600
[4157.98184179],183300
[1772.17547789],195000
[4854.34428233],209500
[1863.07847856],60500
[1648.73338073],64700
[1473.60963255],85500
[1879.00221319],302600
[1901.20845133],206300
[4081.97916549],241700
[1861.8551842],68500
[4055.57646928],159100
[1674.33143411],211300
[1510.54049479],113500
[3807.47044866],159900
[4071.48631111],169300
[4254.32683111],114900
[2026.26227609],339700
[1843.15542318],292500
[4336.415334],254000
[1600.03012475],167800
[1554.79384722],146600
[1632.20679506],45000
[4128.19741275],140100
[3993.98895376],351600
[1618.0478592],165900
[4541.56501915],298300
[3948.40666674],174400
[1815.26433604],223900
[1791.93104133],73400
[2128.86405221],123000
[1651.04777138],99300
[1690.46026291],185100
[3928.56821857],60700
[3653.96045707],115100
[1600.48521276],330000
[3874.75738337],247800
[1834.08732742],88200
[3803.08273424],171300
[1916.32415279],164000
[3984.72294738],163900
[4137.46465489],404300
[4187.71486168],222100
[4236.58095733],324000
[4068.58659315],235300
[2531.92431515],217700
[3840.29732614],450000
[4173.84592884],297900
[1759.64274748],55000
[4411.34129035],325000
[4259.27392851],165600
[1679.17335724],204200
[3958.21820539],76200
[1661.70837866],103800
[3619.33344114],121500
[3983.15336248],261800
[1721.67007786],212800
[1966.30345271],192100
[1973.45920154],202000
[4375.66292615],397000
[4497.80436381],100000
[1453.62899392],102500
[3980.64530586],261500
[1792.50398975],112100
[4533.73679861],117400
[4076.08077799],170000
[1619.13399234],69500
[4406.42525783],275000
[4282.35966677],180300
[1648.74957159],77500
[1811.53570315],81300
[3920.97522154],174100
[1626.27527182],196700
[3457.45351838],149000
[2042.6255522],52900
[1522.97452582],229000
[4180.02375374],141300
[3660.07823686],500001
[1525.4068828],336100
[1563.85766484],220100
[1845.11179788],58700
[1932.86570992],192600
[3709.8319366],153800
[1654.26986149],186200
[1920.72887533],78800
[1626.4780636],279900
[3669.63651409],94500
[3738.70699753],138800
[2157.30783261],136100
[4461.67146794],500001
[1624.90457676],100000
[1556.63811368],75000
[1546.57939401],55300
[1973.32630717],168100
[1982.57366071],139000
[1792.8741781],97400
[1679.65795269],350000
[1550.62070821],87300
[2313.45713574],341200
[1854.33086163],243800
[2374.57946889],86500
[3902.00592433],236000
[3901.58846041],196400
[4559.71569762],214800
[1352.09853005],115600
[1528.33780103],286800
[1646.15582848],206100
[1662.58212683],60600
[2041.24417928],227800
[4564.99126249],115800
[1645.4383258],222900
[3900.29229545],252200
[1967.28288048],96600
[3973.47516186],135200
[4209.70424046],137500
[3968.24050541],215800
[4022.0925988],500001
[3981.70635753],246400
[1701.19135793],247000
[4064.89192431],312100
[3978.79695107],500001
[4344.64717616],122700
[3892.50862859],93800
[3492.1525011],218800
[1523.86355352],228900
[1777.86395621],206900
[1730.27564667],335000
[1604.8349752],138000
[1871.14648127],72600
[4106.09420863],472100
[3635.0448184],95800
[1697.38504024],141700
[3931.17584653],173400
[3703.89251057],120700
[1687.61544087],127600
[1616.25152967],65900
[3653.99744283],186600
[1852.82859674],121200
[3987.45416385],96100
[1860.0456746],160900
[3739.94060202],181300
[3933.38698282],138000
[1428.33465359],404700
[4321.85297675],169200
[1600.02250071],58200
[1568.40805604],122300
[3947.13040182],197600
[1459.48848],171900
[1712.12281945],71900
[4052.47149228],220900
[1789.24280018],174200
[3697.59173985],147200
[4313.328622],500001
[3914.66428061],265000
[1898.00466224],64800
[3763.02181513],151800
[3995.24972168],143300
[1950.71717465],112500
[4235.40711183],197600
[4260.62619378],425000
[4068.98467566],441100
[1638.11274422],196200
[3880.13245167],94000
[1538.15378435],71900
[2154.06666141],50000
[3777.74756156],220400
[1596.04866182],500001
[1957.78242992],155000
[4693.9412605],157400
[1696.86268792],258600
[3990.76609909],363200
[3587.08165347],99300
[3801.29242004],348300
[3971.2973847],227600
[1604.93362507],162000
[1427.77151503],259700
[1623.74125762],253700
[4192.30652062],162500
[1934.73993045],266000
[1649.9948714],243800
[1691.81622862],96300
[4079.07697512],126200
[1579.83431134],58000
[3954.09294968],180900
[4062.68264146],318900
[3818.88941401],159200
[1874.49884848],83400
[2041.79306687],145800
[1528.90522358],50000
[3612.13786942],100000
[3959.18178421],171400
[1804.77145228],69400
[3924.21912325],187500
[1661.9319975],241000
[3846.92166399],405100
[1647.27339046],310700
[1652.2777088],86300
[1754.22737707],156300
[4044.83479572],235000
[1640.45006764],92800
[1654.43233978],166800
[1553.97792538],71600
[4642.49168637],332000
[1704.26005575],500001
[3936.97156703],500001
[2299.72356076],141600
[4008.82853327],189900
[1657.41690936],57000
[4057.68628764],194300
[3771.83037713],219200
[1927.74603694],98500
[3924.0499805],221500
[1497.0786707],362500
[1684.63128663],344500
[1576.18234646],160100
[1581.57089723],145700
[4734.86508881],142400
[1926.93172675],207000
