Classified,Real
[1911.60066981],452600
[1912.56541531],358500
[1769.15488872],341300
[1637.53905778],241400
[1667.0080251],261100
[1638.69120539],281500
[1632.11168872],213500
[1572.10655796],159200
[1615.54420675],152500
[1581.26940834],155500
[1555.9483711],159800
[1559.26928409],113900
[1582.6938718],99700
[1606.11540909],132600
[1592.93423012],107500
[1597.52982116],93800
[1558.41949301],110400
[1539.33199177],104900
[1612.58071106],109700
[1545.90699743],97200
[1522.35229973],104500
[1607.72274498],176000
[1578.49270763],155400
[1534.46911745],150000
[1628.35820061],184400
[1611.40468749],182300
[1556.85537832],137500
[1511.9852222],171900
[1529.83619291],104200
[1541.10357642],83100
[1546.64723495],87500
[1506.94687601],85300
[1527.2741598],80300
[1527.45086286],76100
[1603.21331817],73500
[1564.53789218],85000
[1504.4870854],95200
[1492.02236544],67500
[1593.37143931],137500
[1593.89082053],102100
[1500.02399582],112500
[1571.48657939],131300
[1540.72479583],162500
[1528.45284675],112500
[1509.52593528],137500
[1559.37653785],118800
[1500.68857061],162500
[1509.88663472],137500
[1531.15276478],500001
[1571.37732476],162500
[1505.43222157],137500
[1505.46565205],162500
[1601.88552006],187500
[1557.0061827],179200
[1586.16087606],130000
[1618.97950198],183800
[1534.4687428],170000
[1642.54292308],273400
[1632.9624114],237500
[1628.1186033],335700
[1731.19561562],313400
[1645.73708877],268500
[1639.1638926],259400
[1674.55922757],225000
[1740.0040604],262500
[1609.08165091],218500
[1635.62979517],255000
[1603.2463435],218500
[1638.04256311],234100
[1780.20914058],327600
[1806.95461403],373600
[1756.57317481],337300
[1843.40438669],325900
[2082.77678758],392600
[1836.74135953],333300
[1830.49990725],368900
[1909.93136294],365900
[1803.86926721],362800
[1804.32365073],483300
[1846.89255373],331400
[1829.85804836],323500
[1621.24188174],216700
[1630.5038079],233100
[1686.28919971],270100
[1638.9185312],269500
[1721.7004075],314700
[1834.40420873],352400
[1870.26194417],348700
[1585.14874407],211500
[1627.56190014],218400
[1666.51838031],269900
[1640.89751617],218800
[1628.38281259],225000
[1581.45521944],250000
[1582.83342832],125000
[1554.83674276],97500
[1580.41756972],138800
[1577.43315272],116700
[1551.11507769],151800
[1578.65663411],128600
[1606.81741402],182700
[1592.07565419],146900
[1621.06628757],122800
[1570.0232454],126600
[1565.37155557],112800
[1559.19037205],137500
[1573.30488094],105500
[1572.04647152],95500
[1548.64428075],112500
[1657.64784517],125000
[1547.83166923],115000
[1552.88730277],95000
